data_ora,rad,temperatura,elevazione
2023-03-01 02:05:32.011,4983,40.35,25
2023-03-01 02:05:32.215,4973,40.32,25
2023-03-01 02:05:32.418,4970,40.32,25
2023-03-01 02:05:32.636,4980,40.32,25
2023-03-01 02:05:32.840,4994,40.32,25
2023-03-01 02:05:33.043,5002,40.32,25
2023-03-01 02:05:33.261,4994,40.32,25
2023-03-01 02:05:33.464,5008,40.32,25
2023-03-01 02:05:33.683,5014,40.32,25
2023-03-01 02:05:33.886,5009,40.32,25
2023-03-01 02:05:34.089,5011,40.32,25
2023-03-01 02:05:34.308,5010,40.32,25
2023-03-01 02:05:34.511,5017,40.32,25
2023-03-01 02:05:34.730,4999,40.32,25
2023-03-01 02:05:34.902,5009,40.32,25
2023-03-01 02:05:35.105,5025,40.32,25
2023-03-01 02:05:35.308,5029,40.32,25
2023-03-01 02:05:35.511,5038,40.32,25
2023-03-01 02:05:35.730,5022,40.32,25
2023-03-01 02:05:35.933,5038,40.32,25
2023-03-01 02:05:36.136,5026,40.32,25
2023-03-01 02:05:36.355,5032,40.29,25
2023-03-01 02:05:36.558,5022,40.29,25
2023-03-01 02:05:36.761,5027,40.32,25
2023-03-01 02:05:36.964,5040,40.29,25
2023-03-01 02:05:37.183,5038,40.29,25
2023-03-01 02:05:37.386,5037,40.29,25
2023-03-01 02:05:37.589,5054,40.29,25
2023-03-01 02:05:37.808,5050,40.29,25
2023-03-01 02:05:38.011,5049,40.29,25
2023-03-01 02:05:38.230,5038,40.29,25
2023-03-01 02:05:38.433,5029,40.29,25
2023-03-01 02:05:38.652,5037,40.29,25
2023-03-01 02:05:38.808,5023,40.29,25
2023-03-01 02:05:39.027,5036,40.29,25
2023-03-01 02:05:39.230,5034,40.29,25
2023-03-01 02:05:39.433,5006,40.29,25
2023-03-01 02:05:39.652,5031,40.29,25
2023-03-01 02:05:39.855,5045,40.29,25
2023-03-01 02:05:40.058,5026,40.32,25
2023-03-01 02:05:40.277,5026,40.32,25
2023-03-01 02:05:40.480,5025,40.32,25
2023-03-01 02:05:40.667,5036,40.32,25
2023-03-01 02:05:40.886,5031,40.32,25
2023-03-01 02:05:41.105,5016,40.32,25
2023-03-01 02:05:41.308,5016,40.29,25
2023-03-01 02:05:41.526,5017,40.29,25
2023-03-01 02:05:41.730,5029,40.29,25
2023-03-01 02:05:41.933,5002,40.29,25
2023-03-01 02:05:42.136,5001,40.29,25
2023-03-01 02:05:42.355,5001,40.29,25
2023-03-01 02:05:42.558,5008,40.29,25
2023-03-01 02:05:42.776,5024,40.29,25
2023-03-01 02:05:42.948,5036,40.29,25
2023-03-01 02:05:43.151,5030,40.29,25
2023-03-01 02:05:43.355,5027,40.29,25
2023-03-01 02:05:43.573,5041,40.29,25
2023-03-01 02:05:43.776,5037,40.29,25
2023-03-01 02:05:43.979,5032,40.29,25
2023-03-01 02:05:44.198,5021,40.32,25
2023-03-01 02:05:44.401,5013,40.29,25
2023-03-01 02:05:44.604,5021,40.29,25
2023-03-01 02:05:44.808,5027,40.29,25
2023-03-01 02:05:45.026,5030,40.29,25
2023-03-01 02:05:45.229,5034,40.29,25
2023-03-01 02:05:45.448,5017,40.29,25
2023-03-01 02:05:45.651,5011,40.29,25
2023-03-01 02:05:45.854,5019,40.29,25
2023-03-01 02:05:46.073,4993,40.29,25
2023-03-01 02:05:46.276,5009,40.29,25
2023-03-01 02:05:46.479,5005,40.29,25
2023-03-01 02:05:46.698,4995,40.29,25
2023-03-01 02:05:46.870,5007,40.29,25
2023-03-01 02:05:47.073,4999,40.29,25
2023-03-01 02:05:47.276,4956,40.29,25
2023-03-01 02:05:47.495,4957,40.29,25
2023-03-01 02:05:47.698,4939,40.29,25
2023-03-01 02:05:47.917,4947,40.29,25
2023-03-01 02:05:48.120,4919,40.29,25
2023-03-01 02:05:48.307,4931,40.29,25
2023-03-01 02:05:48.510,4927,40.29,25
2023-03-01 02:05:48.729,4920,40.29,25
2023-03-01 02:05:48.932,4932,40.29,25
2023-03-01 02:05:49.151,4941,40.29,25
2023-03-01 02:05:49.370,4936,40.29,25
2023-03-01 02:05:49.573,4938,40.29,25
2023-03-01 02:05:49.776,4931,40.29,25
2023-03-01 02:05:49.979,4930,40.29,25
2023-03-01 02:05:50.198,4913,40.29,25
2023-03-01 02:05:50.401,4929,40.29,25
2023-03-01 02:05:50.620,4924,40.29,25
2023-03-01 02:05:50.792,4930,40.29,25
2023-03-01 02:05:50.995,4912,40.29,25
2023-03-01 02:05:51.198,4922,40.29,25
2023-03-01 02:05:51.416,4899,40.29,25
2023-03-01 02:05:51.620,4928,40.29,25
2023-03-01 02:05:51.838,4929,40.29,25
2023-03-01 02:05:52.041,4914,40.29,25
2023-03-01 02:05:52.229,4907,40.29,25
2023-03-01 02:05:52.432,4874,40.29,25
2023-03-01 02:05:52.651,4876,40.29,25
2023-03-01 02:05:52.854,4864,40.29,25
2023-03-01 02:05:53.073,4872,40.29,25
2023-03-01 02:05:53.291,4867,40.29,25
2023-03-01 02:05:53.494,4860,40.29,25
2023-03-01 02:05:53.698,4853,40.29,25
2023-03-01 02:05:53.916,4846,40.29,25
2023-03-01 02:05:54.119,4833,40.29,25
2023-03-01 02:05:54.323,4831,40.29,25
2023-03-01 02:05:54.526,4831,40.29,25
2023-03-01 02:05:54.713,4839,40.29,25
2023-03-01 02:05:54.916,4823,40.29,25
2023-03-01 02:05:55.119,4813,40.29,25
2023-03-01 02:05:55.338,4835,40.29,25
2023-03-01 02:05:55.541,4817,40.29,25
2023-03-01 02:05:55.760,4828,40.29,25
2023-03-01 02:05:55.963,4811,40.29,25
2023-03-01 02:05:56.151,4812,40.29,25
2023-03-01 02:05:56.354,4811,40.29,25
2023-03-01 02:05:56.557,4818,40.29,25
2023-03-01 02:05:56.776,4809,40.29,25
2023-03-01 02:05:56.979,4812,40.29,25
2023-03-01 02:05:57.197,4812,40.29,25
2023-03-01 02:05:57.416,4818,40.29,25
2023-03-01 02:05:57.619,4851,40.29,25
2023-03-01 02:05:57.838,4811,40.29,25
2023-03-01 02:05:58.041,4825,40.29,25
2023-03-01 02:05:58.244,4801,40.29,25
2023-03-01 02:05:58.447,4793,40.29,25
2023-03-01 02:05:58.666,4797,40.26,25
2023-03-01 02:05:58.838,4791,40.26,25
2023-03-01 02:05:59.041,4788,40.26,25
2023-03-01 02:05:59.260,4789,40.26,25
2023-03-01 02:05:59.463,4793,40.29,25
2023-03-01 02:05:59.666,4776,40.29,25
2023-03-01 02:05:59.869,4783,40.26,25
2023-03-01 02:06:00.072,4776,40.29,25
2023-03-01 02:06:00.291,4766,40.29,25
2023-03-01 02:06:00.494,4783,40.29,25
2023-03-01 02:06:00.697,4784,40.29,25
2023-03-01 02:06:00.900,4794,40.29,25
2023-03-01 02:06:01.119,4774,40.29,25
2023-03-01 02:06:01.322,4769,40.29,25
2023-03-01 02:06:01.541,4757,40.29,25
2023-03-01 02:06:01.760,4767,40.29,25
2023-03-01 02:06:01.963,4763,40.29,25
2023-03-01 02:06:02.166,4751,40.29,25
2023-03-01 02:06:02.385,4753,40.26,25
2023-03-01 02:06:02.588,4740,40.26,25
2023-03-01 02:06:02.760,4739,40.26,25
2023-03-01 02:06:02.978,4746,40.29,25
2023-03-01 02:06:03.181,4736,40.26,25
2023-03-01 02:06:03.385,4768,40.26,25
2023-03-01 02:06:03.588,4742,40.26,25
2023-03-01 02:06:03.791,4737,40.26,25
2023-03-01 02:06:03.994,4754,40.26,25
2023-03-01 02:06:04.197,4735,40.29,25
2023-03-01 02:06:04.416,4741,40.29,25
2023-03-01 02:06:04.619,4753,40.26,25
2023-03-01 02:06:04.822,4758,40.29,25
