data_ora,rad,temperatura,elevazione
2023-03-01 03:34:32.137,4261,40.22,30
2023-03-01 03:34:32.340,4284,40.22,30
2023-03-01 03:34:32.558,4257,40.22,30
2023-03-01 03:34:32.777,4265,40.22,30
2023-03-01 03:34:32.980,4269,40.22,30
2023-03-01 03:34:33.199,4272,40.22,30
2023-03-01 03:34:33.402,4268,40.22,30
2023-03-01 03:34:33.605,4284,40.22,30
2023-03-01 03:34:33.808,4254,40.22,30
2023-03-01 03:34:33.996,4256,40.22,30
2023-03-01 03:34:34.199,4258,40.22,30
2023-03-01 03:34:34.402,4266,40.22,30
2023-03-01 03:34:34.621,4257,40.22,30
2023-03-01 03:34:34.824,4264,40.22,30
2023-03-01 03:34:35.011,4259,40.22,30
2023-03-01 03:34:35.230,4265,40.22,30
2023-03-01 03:34:35.433,4268,40.22,30
2023-03-01 03:34:35.636,4275,40.22,30
2023-03-01 03:34:35.855,4270,40.22,30
2023-03-01 03:34:36.058,4250,40.22,30
2023-03-01 03:34:36.261,4260,40.22,30
2023-03-01 03:34:36.480,4259,40.22,30
2023-03-01 03:34:36.699,4256,40.22,30
2023-03-01 03:34:36.902,4250,40.22,30
2023-03-01 03:34:37.121,4244,40.22,30
2023-03-01 03:34:37.324,4261,40.22,30
2023-03-01 03:34:37.527,4257,40.22,30
2023-03-01 03:34:37.746,4260,40.22,30
2023-03-01 03:34:37.918,4239,40.22,30
2023-03-01 03:34:38.121,4235,40.22,30
2023-03-01 03:34:38.324,4241,40.22,30
2023-03-01 03:34:38.527,4265,40.22,30
2023-03-01 03:34:38.730,4251,40.22,30
2023-03-01 03:34:38.933,4235,40.26,30
2023-03-01 03:34:39.152,4249,40.26,30
2023-03-01 03:34:39.355,4255,40.26,30
2023-03-01 03:34:39.558,4256,40.26,30
2023-03-01 03:34:39.777,4279,40.26,30
2023-03-01 03:34:39.980,4253,40.26,30
2023-03-01 03:34:40.183,4245,40.26,30
2023-03-01 03:34:40.402,4257,40.26,30
2023-03-01 03:34:40.605,4265,40.26,30
2023-03-01 03:34:40.824,4277,40.26,30
2023-03-01 03:34:41.042,4293,40.26,30
2023-03-01 03:34:41.246,4256,40.26,30
2023-03-01 03:34:41.449,4279,40.26,30
2023-03-01 03:34:41.667,4279,40.26,30
2023-03-01 03:34:41.839,4251,40.26,30
2023-03-01 03:34:42.042,4258,40.26,30
2023-03-01 03:34:42.246,4278,40.26,30
2023-03-01 03:34:42.449,4276,40.26,30
2023-03-01 03:34:42.652,4258,40.26,30
2023-03-01 03:34:42.870,4265,40.29,30
2023-03-01 03:34:43.074,4245,40.29,30
2023-03-01 03:34:43.277,4257,40.26,30
2023-03-01 03:34:43.495,4238,40.29,30
2023-03-01 03:34:43.699,4229,40.29,30
2023-03-01 03:34:43.902,4242,40.29,30
2023-03-01 03:34:44.105,4230,40.29,30
2023-03-01 03:34:44.324,4223,40.29,30
2023-03-01 03:34:44.527,4230,40.29,30
2023-03-01 03:34:44.745,4241,40.29,30
2023-03-01 03:34:44.964,4253,40.29,30
2023-03-01 03:34:45.167,4256,40.29,30
2023-03-01 03:34:45.370,4258,40.29,30
2023-03-01 03:34:45.589,4269,40.29,30
2023-03-01 03:34:45.761,4261,40.29,30
2023-03-01 03:34:45.964,4272,40.29,30
2023-03-01 03:34:46.167,4260,40.29,30
2023-03-01 03:34:46.370,4248,40.29,30
2023-03-01 03:34:46.573,4248,40.29,30
2023-03-01 03:34:46.808,4241,40.32,30
2023-03-01 03:34:46.995,4231,40.32,30
2023-03-01 03:34:47.198,4230,40.32,30
2023-03-01 03:34:47.417,4223,40.32,30
2023-03-01 03:34:47.620,4210,40.32,30
2023-03-01 03:34:47.823,4210,40.32,30
2023-03-01 03:34:48.042,4218,40.32,30
2023-03-01 03:34:48.245,4209,40.32,30
2023-03-01 03:34:48.448,4215,40.32,30
2023-03-01 03:34:48.667,4224,40.32,30
2023-03-01 03:34:48.870,4231,40.32,30
2023-03-01 03:34:49.089,4224,40.32,30
2023-03-01 03:34:49.308,4237,40.32,30
2023-03-01 03:34:49.511,4215,40.32,30
2023-03-01 03:34:49.683,4225,40.32,30
2023-03-01 03:34:49.886,4230,40.35,30
2023-03-01 03:34:50.089,4230,40.35,30
2023-03-01 03:34:50.292,4231,40.35,30
2023-03-01 03:34:50.495,4224,40.35,30
2023-03-01 03:34:50.714,4241,40.35,30
2023-03-01 03:34:50.917,4248,40.35,30
2023-03-01 03:34:51.136,4241,40.35,30
2023-03-01 03:34:51.339,4212,40.35,30
2023-03-01 03:34:51.542,4238,40.35,30
