data_ora;rad;temperatura;elevazione;;;
2023-03-01 03:26:02.115;3677;40.32;35;;media;dev std
2023-03-01 03:26:02.318;3675;40.32;35;;3702,17284;26,94226179
2023-03-01 03:26:02.537;3673;40.32;35;;;
2023-03-01 03:26:02.756;3668;40.32;35;;;
2023-03-01 03:26:02.959;3686;40.32;35;;;
2023-03-01 03:26:03.131;3674;40.32;35;;;
2023-03-01 03:26:03.334;3653;40.32;35;;;
2023-03-01 03:26:03.537;3681;40.32;35;;;
2023-03-01 03:26:03.740;3674;40.32;35;;;
2023-03-01 03:26:03.959;3670;40.32;35;;;
2023-03-01 03:26:04.162;3643;40.35;35;;;
2023-03-01 03:26:04.365;3664;40.35;35;;;
2023-03-01 03:26:04.584;3672;40.35;35;;;
2023-03-01 03:26:04.787;3670;40.35;35;;;
2023-03-01 03:26:04.990;3667;40.35;35;;;
2023-03-01 03:26:05.193;3660;40.35;35;;;
2023-03-01 03:26:05.412;3659;40.35;35;;;
2023-03-01 03:26:05.630;3626;40.35;35;;;
2023-03-01 03:26:05.818;3641;40.35;35;;;
2023-03-01 03:26:06.037;3643;40.32;35;;;
2023-03-01 03:26:06.255;3653;40.32;35;;;
2023-03-01 03:26:06.458;3651;40.32;35;;;
2023-03-01 03:26:06.677;3658;40.32;35;;;
2023-03-01 03:26:06.880;3654;40.32;35;;;
2023-03-01 03:26:07.052;3669;40.35;35;;;
2023-03-01 03:26:07.255;3662;40.35;35;;;
2023-03-01 03:26:07.474;3663;40.35;35;;;
2023-03-01 03:26:07.677;3666;40.35;35;;;
2023-03-01 03:26:07.865;3663;40.35;35;;;
2023-03-01 03:26:08.083;3664;40.35;35;;;
2023-03-01 03:26:08.287;3658;40.35;35;;;
2023-03-01 03:26:08.490;3685;40.35;35;;;
2023-03-01 03:26:08.693;3675;40.35;35;;;
2023-03-01 03:26:08.912;3673;40.35;35;;;
2023-03-01 03:26:09.130;3680;40.35;35;;;
2023-03-01 03:26:09.333;3695;40.35;35;;;
2023-03-01 03:26:09.547;3691;40.35;35;;;
