data_ora;rad;temperatura;elevazione;;;;
2023-03-01 03:17:02.158;3353;40.32;40;;;media+;dev std
2023-03-01 03:17:02.376;3328;40.32;40;;;3314,546091;19,28592299
2023-03-01 03:17:02.580;3344;40.32;40;;;;
2023-03-01 03:17:02.798;3343;40.32;40;;;;
2023-03-01 03:17:03.001;3331;40.32;40;;;;
2023-03-01 03:17:03.173;3341;40.32;40;;;;
2023-03-01 03:17:03.392;3334;40.32;40;;;;
2023-03-01 03:17:03.595;3333;40.32;40;;;;
2023-03-01 03:17:03.783;3323;40.32;40;;;;
2023-03-01 03:17:04.001;3313;40.32;40;;;;
2023-03-01 03:17:04.205;3308;40.32;40;;;;
2023-03-01 03:17:04.408;3303;40.32;40;;;;
2023-03-01 03:17:04.626;3310;40.32;40;;;;
2023-03-01 03:17:04.829;3299;40.32;40;;;;
2023-03-01 03:17:05.033;3301;40.32;40;;;;
2023-03-01 03:17:05.251;3307;40.32;40;;;;
2023-03-01 03:17:05.454;3302;40.29;40;;;;
2023-03-01 03:17:05.658;3285;40.29;40;;;;
2023-03-01 03:17:05.861;3305;40.29;40;;;;
2023-03-01 03:17:06.079;3302;40.29;40;;;;
2023-03-01 03:17:06.283;3313;40.29;40;;;;
2023-03-01 03:17:06.501;3299;40.29;40;;;;
2023-03-01 03:17:06.720;3310;40.29;40;;;;
2023-03-01 03:17:06.923;3288;40.29;40;;;;
2023-03-01 03:17:07.095;3307;40.29;40;;;;
2023-03-01 03:17:07.298;3301;40.29;40;;;;
2023-03-01 03:17:07.501;3293;40.29;40;;;;
2023-03-01 03:17:07.720;3291;40.29;40;;;;
2023-03-01 03:17:07.923;3279;40.29;40;;;;
2023-03-01 03:17:08.126;3275;40.29;40;;;;
2023-03-01 03:17:08.329;3284;40.29;40;;;;
2023-03-01 03:17:08.548;3266;40.29;40;;;;
2023-03-01 03:17:08.751;3278;40.29;40;;;;
2023-03-01 03:17:08.954;3305;40.26;40;;;;
2023-03-01 03:17:09.173;3306;40.26;40;;;;
2023-03-01 03:17:09.371;3302;40.26;40;;;;
2023-03-01 03:17:09.589;3300;40.26;40;;;;
2023-03-01 03:17:09.793;3301;40.26;40;;;;
2023-03-01 03:17:09.996;3299;40.26;40;;;;
2023-03-01 03:17:10.214;3276;40.26;40;;;;
2023-03-01 03:17:10.418;3305;40.26;40;;;;
2023-03-01 03:17:10.636;3289;40.26;40;;;;
2023-03-01 03:17:10.855;3306;40.26;40;;;;
2023-03-01 03:17:11.027;3280;40.26;40;;;;
2023-03-01 03:17:11.214;3292;40.26;40;;;;
2023-03-01 03:17:11.418;3292;40.26;40;;;;
2023-03-01 03:17:11.636;3284;40.26;40;;;;
2023-03-01 03:17:11.839;3301;40.26;40;;;;
2023-03-01 03:17:12.043;3286;40.26;40;;;;
2023-03-01 03:17:12.261;3291;40.26;40;;;;
2023-03-01 03:17:12.464;3288;40.26;40;;;;
2023-03-01 03:17:12.668;3281;40.26;40;;;;
2023-03-01 03:17:12.886;3283;40.26;40;;;;
2023-03-01 03:17:13.089;3300;40.26;40;;;;
2023-03-01 03:17:13.292;3304;40.26;40;;;;
2023-03-01 03:17:13.511;3295;40.26;40;;;;
2023-03-01 03:17:13.714;3295;40.26;40;;;;
