data_ora;rad;temperatura;elevazione;;;;
2023-03-01 02:37:32.084;3518;40.32;45;;;media;dev std
2023-03-01 02:37:32.303;3514;40.32;45;;;3511,014245;29,95504988
2023-03-01 02:37:32.506;3517;40.35;45;;;;
2023-03-01 02:37:32.709;3496;40.35;45;;;;
2023-03-01 02:37:32.928;3505;40.35;45;;;;
2023-03-01 02:37:33.131;3520;40.35;45;;;;
2023-03-01 02:37:33.334;3513;40.32;45;;;;
2023-03-01 02:37:33.553;3508;40.32;45;;;;
2023-03-01 02:37:33.771;3493;40.32;45;;;;
2023-03-01 02:37:33.974;3501;40.32;45;;;;
2023-03-01 02:37:34.193;3504;40.32;45;;;;
2023-03-01 02:37:34.396;3501;40.32;45;;;;
2023-03-01 02:37:34.568;3498;40.32;45;;;;
2023-03-01 02:37:34.771;3501;40.32;45;;;;
2023-03-01 02:37:34.974;3507;40.32;45;;;;
2023-03-01 02:37:35.177;3499;40.32;45;;;;
2023-03-01 02:37:35.396;3499;40.32;45;;;;
2023-03-01 02:37:35.599;3495;40.32;45;;;;
2023-03-01 02:37:35.802;3478;40.32;45;;;;
2023-03-01 02:37:36.005;3481;40.32;45;;;;
2023-03-01 02:37:36.224;3496;40.32;45;;;;
2023-03-01 02:37:36.427;3489;40.32;45;;;;
2023-03-01 02:37:36.630;3489;40.32;45;;;;
2023-03-01 02:37:36.849;3497;40.32;45;;;;
2023-03-01 02:37:37.052;3489;40.32;45;;;;
2023-03-01 02:37:37.255;3498;40.32;45;;;;
2023-03-01 02:37:37.474;3493;40.32;45;;;;
2023-03-01 02:37:37.693;3507;40.32;45;;;;
2023-03-01 02:37:37.896;3481;40.32;45;;;;
2023-03-01 02:37:38.115;3507;40.32;45;;;;
2023-03-01 02:37:38.318;3502;40.32;45;;;;
2023-03-01 02:37:38.490;3501;40.32;45;;;;
2023-03-01 02:37:38.693;3489;40.32;45;;;;
2023-03-01 02:37:38.896;3496;40.32;45;;;;
2023-03-01 02:37:39.099;3495;40.32;45;;;;
2023-03-01 02:37:39.318;3485;40.32;45;;;;
2023-03-01 02:37:39.521;3492;40.32;45;;;;
2023-03-01 02:37:39.724;3493;40.32;45;;;;
2023-03-01 02:37:39.927;3487;40.32;45;;;;
2023-03-01 02:37:40.146;3475;40.32;45;;;;
2023-03-01 02:37:40.349;3484;40.32;45;;;;
2023-03-01 02:37:40.552;3485;40.32;45;;;;
2023-03-01 02:37:40.771;3485;40.32;45;;;;
2023-03-01 02:37:40.974;3485;40.32;45;;;;
2023-03-01 02:37:41.177;3484;40.32;45;;;;
2023-03-01 02:37:41.396;3497;40.32;45;;;;
2023-03-01 02:37:41.599;3472;40.32;45;;;;
2023-03-01 02:37:41.818;3492;40.32;45;;;;
2023-03-01 02:37:42.036;3503;40.32;45;;;;
2023-03-01 02:37:42.240;3485;40.32;45;;;;
2023-03-01 02:37:42.411;3494;40.32;45;;;;
2023-03-01 02:37:42.599;3499;40.32;45;;;;
2023-03-01 02:37:42.818;3494;40.32;45;;;;
2023-03-01 02:37:43.021;3468;40.32;45;;;;
2023-03-01 02:37:43.224;3502;40.32;45;;;;
2023-03-01 02:37:43.443;3485;40.32;45;;;;
2023-03-01 02:37:43.646;3496;40.32;45;;;;
2023-03-01 02:37:43.849;3482;40.32;45;;;;
2023-03-01 02:37:44.068;3499;40.32;45;;;;
2023-03-01 02:37:44.271;3484;40.32;45;;;;
2023-03-01 02:37:44.474;3491;40.32;45;;;;
2023-03-01 02:37:44.693;3492;40.32;45;;;;
2023-03-01 02:37:44.896;3495;40.32;45;;;;
2023-03-01 02:37:45.114;3489;40.32;45;;;;
2023-03-01 02:37:45.317;3497;40.29;45;;;;
2023-03-01 02:37:45.521;3499;40.29;45;;;;
2023-03-01 02:37:45.739;3493;40.29;45;;;;
2023-03-01 02:37:45.958;3482;40.29;45;;;;
2023-03-01 02:37:46.161;3496;40.29;45;;;;
2023-03-01 02:37:46.317;3478;40.29;45;;;;
2023-03-01 02:37:46.521;3514;40.29;45;;;;
2023-03-01 02:37:46.739;3491;40.29;45;;;;
2023-03-01 02:37:46.942;3501;40.29;45;;;;
2023-03-01 02:37:47.146;3496;40.29;45;;;;
2023-03-01 02:37:47.364;3495;40.29;45;;;;
2023-03-01 02:37:47.567;3507;40.29;45;;;;
2023-03-01 02:37:47.771;3490;40.29;45;;;;
2023-03-01 02:37:47.989;3494;40.29;45;;;;
2023-03-01 02:37:48.192;3491;40.29;45;;;;
2023-03-01 02:37:48.395;3506;40.29;45;;;;
2023-03-01 02:37:48.614;3501;40.29;45;;;;
2023-03-01 02:37:48.817;3498;40.29;45;;;;
2023-03-01 02:37:49.020;3489;40.29;45;;;;
2023-03-01 02:37:49.239;3486;40.29;45;;;;
2023-03-01 02:37:49.442;3483;40.29;45;;;;
2023-03-01 02:37:49.661;3493;40.29;45;;;;
2023-03-01 02:37:49.864;3499;40.29;45;;;;
2023-03-01 02:37:50.083;3503;40.29;45;;;;
2023-03-01 02:37:50.239;3507;40.29;45;;;;
