data_ora;rad;temperatura;elevazione;;;
2023-03-01 02:46:02.154;3882;40.26;50;;media;dev std
2023-03-01 02:46:02.357;3892;40.26;50;;3914,676678;29,28294503
2023-03-01 02:46:02.575;3868;40.26;50;;;
2023-03-01 02:46:02.794;3859;40.26;50;;;
2023-03-01 02:46:02.997;3848;40.26;50;;;
2023-03-01 02:46:03.216;3858;40.26;50;;;
2023-03-01 02:46:03.419;3855;40.26;50;;;
2023-03-01 02:46:03.622;3860;40.26;50;;;
2023-03-01 02:46:03.841;3869;40.26;50;;;
2023-03-01 02:46:04.044;3858;40.26;50;;;
2023-03-01 02:46:04.247;3880;40.26;50;;;
2023-03-01 02:46:04.435;3889;40.26;50;;;
2023-03-01 02:46:04.638;3871;40.26;50;;;
2023-03-01 02:46:04.857;3891;40.26;50;;;
2023-03-01 02:46:05.060;3870;40.26;50;;;
2023-03-01 02:46:05.263;3893;40.26;50;;;
2023-03-01 02:46:05.466;3895;40.26;50;;;
2023-03-01 02:46:05.669;3895;40.26;50;;;
2023-03-01 02:46:05.872;3884;40.26;50;;;
2023-03-01 02:46:06.075;3895;40.26;50;;;
2023-03-01 02:46:06.294;3880;40.26;50;;;
2023-03-01 02:46:06.497;3887;40.26;50;;;
2023-03-01 02:46:06.700;3887;40.26;50;;;
2023-03-01 02:46:06.919;3892;40.26;50;;;
2023-03-01 02:46:07.138;3890;40.26;50;;;
2023-03-01 02:46:07.341;3886;40.26;50;;;
2023-03-01 02:46:07.559;3909;40.26;50;;;
2023-03-01 02:46:07.763;3878;40.26;50;;;
2023-03-01 02:46:07.966;3873;40.26;50;;;
2023-03-01 02:46:08.169;3882;40.26;50;;;
2023-03-01 02:46:08.356;3883;40.29;50;;;
2023-03-01 02:46:08.554;3890;40.29;50;;;
2023-03-01 02:46:08.773;3902;40.29;50;;;
2023-03-01 02:46:08.976;3897;40.29;50;;;
2023-03-01 02:46:09.179;3905;40.29;50;;;
2023-03-01 02:46:09.382;3911;40.29;50;;;
2023-03-01 02:46:09.585;3908;40.29;50;;;
2023-03-01 02:46:09.804;3923;40.29;50;;;
2023-03-01 02:46:10.007;3913;40.29;50;;;
2023-03-01 02:46:10.210;3908;40.29;50;;;
2023-03-01 02:46:10.429;3904;40.29;50;;;
2023-03-01 02:46:10.632;3922;40.29;50;;;
2023-03-01 02:46:10.835;3937;40.29;50;;;
2023-03-01 02:46:11.054;3934;40.29;50;;;
2023-03-01 02:46:11.273;3956;40.29;50;;;
2023-03-01 02:46:11.476;3952;40.29;50;;;
2023-03-01 02:46:11.679;3943;40.29;50;;;
2023-03-01 02:46:11.898;3951;40.29;50;;;
2023-03-01 02:46:12.101;3947;40.29;50;;;
2023-03-01 02:46:12.273;3932;40.29;50;;;
2023-03-01 02:46:12.491;3929;40.29;50;;;
2023-03-01 02:46:12.694;3944;40.29;50;;;
2023-03-01 02:46:12.898;3943;40.29;50;;;
2023-03-01 02:46:13.101;3935;40.32;50;;;
2023-03-01 02:46:13.304;3938;40.32;50;;;
2023-03-01 02:46:13.507;3946;40.32;50;;;
2023-03-01 02:46:13.710;3951;40.32;50;;;
2023-03-01 02:46:13.929;3957;40.32;50;;;
2023-03-01 02:46:14.132;3951;40.32;50;;;
2023-03-01 02:46:14.335;3968;40.32;50;;;
2023-03-01 02:46:14.554;3966;40.32;50;;;
2023-03-01 02:46:14.757;3997;40.32;50;;;
2023-03-01 02:46:14.960;3982;40.32;50;;;
2023-03-01 02:46:15.179;3988;40.32;50;;;
2023-03-01 02:46:15.397;3990;40.32;50;;;
2023-03-01 02:46:15.601;3985;40.32;50;;;
2023-03-01 02:46:15.819;3981;40.32;50;;;
2023-03-01 02:46:16.022;3968;40.32;50;;;
2023-03-01 02:46:16.226;3954;40.32;50;;;
2023-03-01 02:46:16.413;3942;40.32;50;;;
2023-03-01 02:46:16.616;3954;40.32;50;;;
2023-03-01 02:46:16.819;3942;40.32;50;;;
2023-03-01 02:46:17.022;3956;40.32;50;;;
2023-03-01 02:46:17.225;3956;40.32;50;;;
2023-03-01 02:46:17.429;3944;40.32;50;;;
2023-03-01 02:46:17.647;3954;40.32;50;;;
2023-03-01 02:46:17.850;3954;40.35;50;;;
2023-03-01 02:46:18.054;3953;40.35;50;;;
2023-03-01 02:46:18.257;3943;40.35;50;;;
2023-03-01 02:46:18.475;3951;40.35;50;;;
2023-03-01 02:46:18.678;3921;40.35;50;;;
2023-03-01 02:46:18.882;3909;40.35;50;;;
2023-03-01 02:46:19.100;3912;40.35;50;;;
2023-03-01 02:46:19.319;3930;40.35;50;;;
2023-03-01 02:46:19.522;3938;40.35;50;;;
2023-03-01 02:46:19.741;3911;40.35;50;;;
2023-03-01 02:46:19.944;3934;40.35;50;;;
2023-03-01 02:46:20.147;3938;40.35;50;;;
2023-03-01 02:46:20.335;3944;40.35;50;;;
2023-03-01 02:46:20.538;3960;40.35;50;;;
2023-03-01 02:46:20.741;3958;40.35;50;;;
2023-03-01 02:46:20.944;3965;40.35;50;;;
2023-03-01 02:46:21.147;3953;40.35;50;;;
2023-03-01 02:46:21.350;3943;40.35;50;;;
2023-03-01 02:46:21.569;3928;40.35;50;;;
2023-03-01 02:46:21.772;3918;40.35;50;;;
2023-03-01 02:46:21.975;3901;40.35;50;;;
2023-03-01 02:46:22.194;3897;40.35;50;;;
2023-03-01 02:46:22.397;3895;40.35;50;;;
2023-03-01 02:46:22.600;3871;40.35;50;;;
2023-03-01 02:46:22.819;3894;40.35;50;;;
2023-03-01 02:46:23.022;3876;40.35;50;;;
2023-03-01 02:46:23.225;3888;40.35;50;;;
2023-03-01 02:46:23.444;3846;40.35;50;;;
2023-03-01 02:46:23.663;3878;40.35;50;;;
2023-03-01 02:46:23.866;3870;40.35;50;;;
2023-03-01 02:46:24.069;3875;40.35;50;;;
2023-03-01 02:46:24.256;3879;40.35;50;;;
2023-03-01 02:46:24.459;3890;40.35;50;;;
2023-03-01 02:46:24.647;3888;40.35;50;;;
2023-03-01 02:46:24.866;3888;40.35;50;;;
2023-03-01 02:46:25.069;3871;40.35;50;;;
2023-03-01 02:46:25.288;3903;40.35;50;;;
2023-03-01 02:46:25.491;3883;40.35;50;;;
2023-03-01 02:46:25.694;3895;40.35;50;;;
2023-03-01 02:46:25.897;3892;40.35;50;;;
2023-03-01 02:46:26.116;3899;40.35;50;;;
2023-03-01 02:46:26.319;3872;40.35;50;;;
2023-03-01 02:46:26.522;3872;40.35;50;;;
2023-03-01 02:46:26.741;3886;40.35;50;;;
2023-03-01 02:46:26.944;3872;40.35;50;;;
2023-03-01 02:46:27.147;3901;40.35;50;;;
2023-03-01 02:46:27.366;3862;40.35;50;;;
2023-03-01 02:46:27.584;3871;40.35;50;;;
2023-03-01 02:46:27.787;3870;40.35;50;;;
2023-03-01 02:46:28.006;3886;40.35;50;;;
2023-03-01 02:46:28.178;3887;40.35;50;;;
2023-03-01 02:46:28.365;3893;40.35;50;;;
2023-03-01 02:46:28.569;3899;40.35;50;;;
