           data_ora  elevazione  azimuth
2023-03-01 01:52:32        19.9    294.9
2023-03-01 01:52:35        19.9    294.9
2023-03-01 01:52:38        19.9    294.9
2023-03-01 01:52:41        19.9    294.9
2023-03-01 01:52:44        19.9    294.9
2023-03-01 01:52:47        19.9    294.9
2023-03-01 01:52:50        19.9    294.9
2023-03-01 01:52:53        19.9    294.9
2023-03-01 01:52:56        19.9    294.9
2023-03-01 01:52:59        19.9    294.9
2023-03-01 01:53:02        19.9    294.9
2023-03-01 01:53:05        19.9    294.9
2023-03-01 01:53:08        19.9    294.9
2023-03-01 01:53:11        19.9    294.9
2023-03-01 01:53:14        19.9    294.9
2023-03-01 01:53:17        19.9    294.9
2023-03-01 01:53:20        19.9    294.9
2023-03-01 01:53:23        19.9    294.9
2023-03-01 01:53:26        19.9    294.9
2023-03-01 01:53:29        19.9    294.9
2023-03-01 01:53:32        19.9    294.9
2023-03-01 01:53:35        19.9    294.9
2023-03-01 01:53:38        19.9    294.9
2023-03-01 01:53:41        19.9    294.9
2023-03-01 01:53:44        19.9    294.9
2023-03-01 01:53:47        19.9    294.9
2023-03-01 01:53:50        19.9    294.9
2023-03-01 01:53:53        19.9    294.9
2023-03-01 01:53:56        19.9    294.9
