               data_ora   rad  temperatura
2023-03-01 01:52:32.152  5098        40.32
2023-03-01 01:52:32.356  5096        40.32
2023-03-01 01:52:32.559  5082        40.32
2023-03-01 01:52:32.777  5086        40.32
2023-03-01 01:52:32.981  5078        40.32
2023-03-01 01:52:33.184  5052        40.32
2023-03-01 01:52:33.402  5072        40.32
2023-03-01 01:52:33.606  5075        40.32
2023-03-01 01:52:33.824  5093        40.32
2023-03-01 01:52:34.043  5071        40.32
2023-03-01 01:52:34.246  5096        40.32
2023-03-01 01:52:34.449  5063        40.32
2023-03-01 01:52:34.668  5078        40.29
2023-03-01 01:52:34.840  5088        40.29
2023-03-01 01:52:35.043  5080        40.29
2023-03-01 01:52:35.246  5069        40.29
2023-03-01 01:52:35.449  5047        40.29
2023-03-01 01:52:35.652  5066        40.29
2023-03-01 01:52:35.856  5055        40.29
2023-03-01 01:52:36.074  5052        40.29
2023-03-01 01:52:36.277  5050        40.29
2023-03-01 01:52:36.481  5043        40.29
2023-03-01 01:52:36.699  5073        40.29
2023-03-01 01:52:36.902  5058        40.29
2023-03-01 01:52:37.121  5061        40.29
2023-03-01 01:52:37.324  5066        40.29
2023-03-01 01:52:37.527  5057        40.29
2023-03-01 01:52:37.746  5060        40.29
2023-03-01 01:52:37.949  5076        40.29
2023-03-01 01:52:38.168  5093        40.29
2023-03-01 01:52:38.387  5097        40.29
2023-03-01 01:52:38.590  5102        40.29
2023-03-01 01:52:38.762  5119        40.29
2023-03-01 01:52:38.965  5132        40.29
2023-03-01 01:52:39.168  5138        40.29
2023-03-01 01:52:39.371  5142        40.29
2023-03-01 01:52:39.574  5151        40.29
2023-03-01 01:52:39.793  5140        40.29
2023-03-01 01:52:39.996  5143        40.29
2023-03-01 01:52:40.199  5155        40.29
2023-03-01 01:52:40.418  5130        40.29
2023-03-01 01:52:40.621  5090        40.29
2023-03-01 01:52:40.824  5066        40.29
2023-03-01 01:52:41.027  5078        40.29
2023-03-01 01:52:41.246  5071        40.29
2023-03-01 01:52:41.449  5062        40.29
2023-03-01 01:52:41.652  5071        40.29
2023-03-01 01:52:41.871  5090        40.26
2023-03-01 01:52:42.090  5106        40.26
2023-03-01 01:52:42.293  5100        40.26
2023-03-01 01:52:42.496  5111        40.26
2023-03-01 01:52:42.683  5119        40.26
2023-03-01 01:52:42.887  5119        40.26
2023-03-01 01:52:43.090  5115        40.26
2023-03-01 01:52:43.277  5131        40.26
2023-03-01 01:52:43.496  5136        40.26
2023-03-01 01:52:43.699  5135        40.26
2023-03-01 01:52:43.902  5141        40.26
2023-03-01 01:52:44.121  5142        40.26
2023-03-01 01:52:44.340  5123        40.26
2023-03-01 01:52:44.527  5121        40.26
2023-03-01 01:52:44.746  5129        40.26
2023-03-01 01:52:44.949  5104        40.26
2023-03-01 01:52:45.152  5105        40.26
2023-03-01 01:52:45.371  5102        40.26
2023-03-01 01:52:45.590  5077        40.26
2023-03-01 01:52:45.808  5059        40.26
2023-03-01 01:52:46.011  5082        40.26
2023-03-01 01:52:46.215  5073        40.26
2023-03-01 01:52:46.418  5030        40.26
2023-03-01 01:52:46.590  5053        40.26
2023-03-01 01:52:46.808  5052        40.26
2023-03-01 01:52:47.011  5051        40.26
2023-03-01 01:52:47.215  5069        40.26
2023-03-01 01:52:47.418  5065        40.26
2023-03-01 01:52:47.621  5075        40.26
2023-03-01 01:52:47.824  5085        40.26
2023-03-01 01:52:48.027  5061        40.26
2023-03-01 01:52:48.246  5083        40.26
2023-03-01 01:52:48.449  5066        40.26
2023-03-01 01:52:48.668  5079        40.26
2023-03-01 01:52:48.871  5067        40.26
2023-03-01 01:52:49.090  5077        40.22
2023-03-01 01:52:49.293  5071        40.22
2023-03-01 01:52:49.511  5071        40.22
2023-03-01 01:52:49.714  5091        40.22
2023-03-01 01:52:49.933  5088        40.22
2023-03-01 01:52:50.136  5093        40.22
2023-03-01 01:52:50.340  5101        40.22
2023-03-01 01:52:50.511  5087        40.22
2023-03-01 01:52:50.730  5085        40.22
2023-03-01 01:52:50.933  5098        40.22
2023-03-01 01:52:51.136  5100        40.22
2023-03-01 01:52:51.355  5122        40.22
2023-03-01 01:52:51.558  5128        40.22
2023-03-01 01:52:51.761  5145        40.22
2023-03-01 01:52:51.964  5149        40.22
2023-03-01 01:52:52.168  5159        40.22
2023-03-01 01:52:52.386  5151        40.22
