               data_ora   rad  temperatura
2023-03-17 00:50:02.110  4868        40.35
2023-03-17 00:50:02.329  4804        40.32
2023-03-17 00:50:02.517  4757        40.32
2023-03-17 00:50:02.720  4691        40.32
2023-03-17 00:50:02.939  4621        40.32
2023-03-17 00:50:03.142  4567        40.32
2023-03-17 00:50:03.360  4523        40.32
2023-03-17 00:50:03.563  4484        40.32
2023-03-17 00:50:03.767  4458        40.32
2023-03-17 00:50:03.985  4405        40.32
2023-03-17 00:50:04.204  4357        40.32
2023-03-17 00:50:04.407  4306        40.32
2023-03-17 00:50:04.626  4286        40.32
2023-03-17 00:50:04.798  4231        40.32
2023-03-17 00:50:05.001  4205        40.32
2023-03-17 00:50:05.204  4183        40.32
2023-03-17 00:50:05.407  4154        40.32
2023-03-17 00:50:05.610  4138        40.32
2023-03-17 00:50:05.813  4112        40.32
2023-03-17 00:50:06.032  4097        40.32
2023-03-17 00:50:06.235  4105        40.32
2023-03-17 00:50:06.438  4060        40.32
2023-03-17 00:50:06.657  4049        40.35
2023-03-17 00:50:06.860  4020        40.32
2023-03-17 00:50:07.063  4017        40.32
2023-03-17 00:50:07.282  3984        40.32
2023-03-17 00:50:07.485  3963        40.35
2023-03-17 00:50:07.688  3958        40.35
2023-03-17 00:50:07.907  3938        40.35
2023-03-17 00:50:08.126  3906        40.35
2023-03-17 00:50:08.329  3901        40.35
2023-03-17 00:50:08.548  3875        40.35
2023-03-17 00:50:08.720  3884        40.35
2023-03-17 00:50:08.907  3901        40.35
2023-03-17 00:50:09.110  3877        40.35
2023-03-17 00:50:09.329  3864        40.35
2023-03-17 00:50:09.532  3857        40.35
2023-03-17 00:50:09.735  3847        40.35
2023-03-17 00:50:09.954  3822        40.35
2023-03-17 00:50:10.157  3814        40.35
2023-03-17 00:50:10.376  3804        40.35
2023-03-17 00:50:10.579  3786        40.35
2023-03-17 00:50:10.782  3772        40.35
2023-03-17 00:50:10.985  3738        40.35
2023-03-17 00:50:11.204  3721        40.35
2023-03-17 00:50:11.407  3701        40.35
2023-03-17 00:50:11.610  3677        40.35
2023-03-17 00:50:11.829  3645        40.35
2023-03-17 00:50:12.048  3647        40.35
2023-03-17 00:50:12.251  3624        40.35
2023-03-17 00:50:12.438  3584        40.35
2023-03-17 00:50:12.626  3572        40.35
2023-03-17 00:50:12.829  3540        40.35
2023-03-17 00:50:13.032  3543        40.35
2023-03-17 00:50:13.251  3529        40.35
2023-03-17 00:50:13.454  3520        40.35
2023-03-17 00:50:13.657  3491        40.35
2023-03-17 00:50:13.876  3480        40.35
2023-03-17 00:50:14.079  3460        40.35
2023-03-17 00:50:14.282  3474        40.35
2023-03-17 00:50:14.501  3463        40.35
2023-03-17 00:50:14.704  3469        40.35
2023-03-17 00:50:14.922  3475        40.35
2023-03-17 00:50:15.126  3486        40.35
2023-03-17 00:50:15.329  3496        40.35
2023-03-17 00:50:15.532  3498        40.35
2023-03-17 00:50:15.751  3512        40.35
2023-03-17 00:50:15.969  3522        40.35
2023-03-17 00:50:16.172  3520        40.35
2023-03-17 00:50:16.391  3519        40.35
2023-03-17 00:50:16.557  3525        40.35
2023-03-17 00:50:16.761  3524        40.35
2023-03-17 00:50:16.964  3533        40.35
2023-03-17 00:50:17.167  3534        40.35
2023-03-17 00:50:17.386  3519        40.35
2023-03-17 00:50:17.589  3505        40.35
2023-03-17 00:50:17.792  3497        40.35
2023-03-17 00:50:18.011  3508        40.35
2023-03-17 00:50:18.214  3519        40.35
2023-03-17 00:50:18.417  3497        40.35
2023-03-17 00:50:18.620  3484        40.35
2023-03-17 00:50:18.839  3488        40.35
2023-03-17 00:50:19.042  3482        40.35
