data;ora;rad;T;elevazione;;;media;dev std;
19/01/2023;02:30:00.092;3599;40.29;20;;;3675,96961;104,7414032;
19/01/2023;02:30:00.301;3603;40.29;20;;;;;
19/01/2023;02:30:00.508;3601;40.26;20;;;;;
19/01/2023;02:30:00.715;3601;40.26;20;;;;;
19/01/2023;02:30:00.925;3587;40.26;20;;;;;
19/01/2023;02:30:01.134;3595;40.26;20;;;;;
19/01/2023;02:30:01.342;3577;40.26;20;;;;;
19/01/2023;02:30:01.543;3583;40.26;20;;;;;
19/01/2023;02:30:01.752;3592;40.26;20;;;;;
19/01/2023;02:30:01.964;3613;40.26;20;;;;;
19/01/2023;02:30:02.173;3594;40.26;20;;;;;
19/01/2023;02:30:02.391;3586;40.26;20;;;;;
19/01/2023;02:30:02.605;3571;40.26;20;;;;;
19/01/2023;02:30:02.813;3555;40.26;20;;;;;
19/01/2023;02:30:02.979;3576;40.26;20;;;;;
19/01/2023;02:30:03.183;3581;40.26;20;;;;;
19/01/2023;02:30:03.390;3587;40.26;20;;;;;
19/01/2023;02:30:03.599;3566;40.26;20;;;;;
19/01/2023;02:30:03.806;3572;40.26;20;;;;;
19/01/2023;02:30:04.015;3568;40.26;20;;;;;
19/01/2023;02:30:04.222;3575;40.26;20;;;;;
19/01/2023;02:30:04.431;3577;40.26;20;;;;;
19/01/2023;02:30:04.640;3559;40.22;20;;;;;
19/01/2023;02:30:04.842;3568;40.22;20;;;;;
19/01/2023;02:30:05.055;3575;40.22;20;;;;;
19/01/2023;02:30:05.264;3570;40.22;20;;;;;
19/01/2023;02:30:05.472;3565;40.22;20;;;;;
19/01/2023;02:30:05.680;3576;40.22;20;;;;;
19/01/2023;02:30:05.883;3576;40.22;20;;;;;
19/01/2023;02:30:06.095;3584;40.22;20;;;;;
19/01/2023;02:30:06.303;3575;40.22;20;;;;;
19/01/2023;02:30:06.522;3567;40.22;20;;;;;
19/01/2023;02:30:06.736;3562;40.22;20;;;;;
19/01/2023;02:30:06.900;3579;40.22;20;;;;;
19/01/2023;02:30:07.104;3597;40.22;20;;;;;
19/01/2023;02:30:07.311;3579;40.22;20;;;;;
19/01/2023;02:30:07.521;3591;40.22;20;;;;;
19/01/2023;02:30:07.728;3574;40.22;20;;;;;
19/01/2023;02:30:07.935;3564;40.22;20;;;;;
19/01/2023;02:30:08.139;3585;40.22;20;;;;;
19/01/2023;02:30:08.352;3595;40.22;20;;;;;
19/01/2023;02:30:08.560;3602;40.22;20;;;;;
19/01/2023;02:30:08.764;3582;40.22;20;;;;;
19/01/2023;02:30:08.977;3572;40.22;20;;;;;
19/01/2023;02:30:09.184;3572;40.22;20;;;;;
19/01/2023;02:30:09.393;3556;40.22;20;;;;;
19/01/2023;02:30:09.601;3540;40.22;20;;;;;
19/01/2023;02:30:09.810;3559;40.22;20;;;;;
19/01/2023;02:30:10.018;3545;40.22;20;;;;;
19/01/2023;02:30:10.225;3547;40.22;20;;;;;
19/01/2023;02:30:10.433;3561;40.22;20;;;;;
19/01/2023;02:30:10.652;3569;40.22;20;;;;;
19/01/2023;02:30:10.865;3561;40.22;20;;;;;
19/01/2023;02:30:11.026;3599;40.22;20;;;;;
19/01/2023;02:30:11.234;3580;40.22;20;;;;;
19/01/2023;02:30:11.442;3584;40.22;20;;;;;
19/01/2023;02:30:11.650;3601;40.22;20;;;;;
19/01/2023;02:30:11.856;3608;40.22;20;;;;;
19/01/2023;02:30:12.065;3610;40.22;20;;;;;
19/01/2023;02:30:12.274;3618;40.22;20;;;;;
19/01/2023;02:30:12.482;3603;40.22;20;;;;;
19/01/2023;02:30:12.684;3621;40.22;20;;;;;
19/01/2023;02:30:12.893;3625;40.22;20;;;;;
19/01/2023;02:30:13.107;3630;40.22;20;;;;;
19/01/2023;02:30:13.314;3627;40.22;20;;;;;
19/01/2023;02:30:13.523;3605;40.22;20;;;;;
19/01/2023;02:30:13.731;3614;40.22;20;;;;;
19/01/2023;02:30:13.939;3609;40.22;20;;;;;
19/01/2023;02:30:14.147;3622;40.22;20;;;;;
19/01/2023;02:30:14.355;3612;40.22;20;;;;;
19/01/2023;02:30:14.563;3651;40.22;20;;;;;
19/01/2023;02:30:14.783;3604;40.22;20;;;;;
19/01/2023;02:30:14.947;3607;40.22;20;;;;;
19/01/2023;02:30:15.155;3600;40.22;20;;;;;
19/01/2023;02:30:15.363;3612;40.22;20;;;;;
19/01/2023;02:30:15.572;3601;40.22;20;;;;;
