temperatura;elevazione;;;;
3122;40.32;35;;media;dev std
3125;40.32;35;;3172,219931;54,75594518
3127;40.29;35;;;
3125;40.29;35;;;
3139;40.29;35;;;
3140;40.29;35;;;
3150;40.29;35;;;
3153;40.29;35;;;
3155;40.29;35;;;
3163;40.29;35;;;
3158;40.29;35;;;
3173;40.29;35;;;
3168;40.29;35;;;
3154;40.29;35;;;
3150;40.29;35;;;
3131;40.29;35;;;
3133;40.29;35;;;
3140;40.29;35;;;
3139;40.29;35;;;
3132;40.29;35;;;
3151;40.29;35;;;
3164;40.29;35;;;
3142;40.29;35;;;
3120;40.29;35;;;
3147;40.29;35;;;
3141;40.29;35;;;
3164;40.29;35;;;
3158;40.29;35;;;
3163;40.29;35;;;
3173;40.29;35;;;
3172;40.26;35;;;
3191;40.26;35;;;
3171;40.26;35;;;
3166;40.26;35;;;
3193;40.26;35;;;
3171;40.26;35;;;
3201;40.26;35;;;
3217;40.26;35;;;
3215;40.26;35;;;
3193;40.26;35;;;
3204;40.26;35;;;
3192;40.26;35;;;
3188;40.26;35;;;
3177;40.26;35;;;
3166;40.26;35;;;
3154;40.26;35;;;
3167;40.26;35;;;
3163;40.26;35;;;
3146;40.26;35;;;
3141;40.26;35;;;
3139;40.26;35;;;
3156;40.26;35;;;
3149;40.26;35;;;
3152;40.26;35;;;
3148;40.26;35;;;
3140;40.26;35;;;
3165;40.26;35;;;
3168;40.26;35;;;
3172;40.26;35;;;
3165;40.26;35;;;
3168;40.26;35;;;
3165;40.26;35;;;
3170;40.26;35;;;
3165;40.26;35;;;
3162;40.26;35;;;
3165;40.26;35;;;
3154;40.22;35;;;
3158;40.26;35;;;
3155;40.22;35;;;
3140;40.22;35;;;
3104;40.22;35;;;
3094;40.22;35;;;
3126;40.22;35;;;
3113;40.22;35;;;
3129;40.22;35;;;
3108;40.22;35;;;
3105;40.22;35;;;
3125;40.22;35;;;
3130;40.22;35;;;
3119;40.22;35;;;
3130;40.22;35;;;
3135;40.22;35;;;
3139;40.22;35;;;
3144;40.22;35;;;
3144;40.22;35;;;
3151;40.22;35;;;
3160;40.22;35;;;
3151;40.26;35;;;
3154;40.26;35;;;
3139;40.26;35;;;
3148;40.26;35;;;
3145;40.26;35;;;
3156;40.26;35;;;
3175;40.26;35;;;
3146;40.26;35;;;
3146;40.26;35;;;
3158;40.26;35;;;
3159;40.26;35;;;
3179;40.26;35;;;
3188;40.26;35;;;
3161;40.26;35;;;
3171;40.26;35;;;
3164;40.26;35;;;
3156;40.26;35;;;
3154;40.26;35;;;
3158;40.26;35;;;
3139;40.26;35;;;
3139;40.26;35;;;
3119;40.26;35;;;
3117;40.26;35;;;
3098;40.26;35;;;
3094;40.26;35;;;
3089;40.26;35;;;
3070;40.26;35;;;
3065;40.26;35;;;
3068;40.29;35;;;
3089;40.29;35;;;
3084;40.29;35;;;
3079;40.29;35;;;
3082;40.29;35;;;
3083;40.29;35;;;
3094;40.29;35;;;
3091;40.29;35;;;
3088;40.29;35;;;
3074;40.29;35;;;
3057;40.29;35;;;
3081;40.32;35;;;
3084;40.32;35;;;
3096;40.32;35;;;
3108;40.32;35;;;
3100;40.32;35;;;
3107;40.32;35;;;
3141;40.32;35;;;
3153;40.32;35;;;
3148;40.32;35;;;
3151;40.32;35;;;
3159;40.32;35;;;
3168;40.32;35;;;
3176;40.32;35;;;
3167;40.32;35;;;
3181;40.32;35;;;
3166;40.32;35;;;
3146;40.32;35;;;
3146;40.32;35;;;
3152;40.35;35;;;
3169;40.35;35;;;
3151;40.35;35;;;
3187;40.35;35;;;
3163;40.35;35;;;
3176;40.35;35;;;
3181;40.35;35;;;
3192;40.35;35;;;
3187;40.35;35;;;
3186;40.35;35;;;
3170;40.35;35;;;
3182;40.35;35;;;
3168;40.35;35;;;
3178;40.35;35;;;
3177;40.35;35;;;
3171;40.35;35;;;
3168;40.35;35;;;
3165;40.35;35;;;
3178;40.35;35;;;
3183;40.35;35;;;
3181;40.35;35;;;
3181;40.35;35;;;
3186;40.35;35;;;
3179;40.35;35;;;
3178;40.35;35;;;
3175;40.35;35;;;
3157;40.35;35;;;
3172;40.35;35;;;
3176;40.35;35;;;
3188;40.35;35;;;
3168;40.35;35;;;
3174;40.35;35;;;
3164;40.35;35;;;
3151;40.35;35;;;
3149;40.35;35;;;
3132;40.35;35;;;
3136;40.35;35;;;
3146;40.35;35;;;
3139;40.35;35;;;
3150;40.35;35;;;
3160;40.35;35;;;
3162;40.35;35;;;
3154;40.35;35;;;
3148;40.35;35;;;
3152;40.35;35;;;
3158;40.35;35;;;
3176;40.35;35;;;
3194;40.35;35;;;
3178;40.35;35;;;
3192;40.35;35;;;
3176;40.35;35;;;
3194;40.35;35;;;
3205;40.35;35;;;
3205;40.35;35;;;
3190;40.35;35;;;
3196;40.35;35;;;
3215;40.35;35;;;
3243;40.35;35;;;
3250;40.35;35;;;
3275;40.35;35;;;
3281;40.35;35;;;
3319;40.35;35;;;
3350;40.35;35;;;
3361;40.35;35;;;
3362;40.35;35;;;
3393;40.35;35;;;
3394;40.35;35;;;
3377;40.35;35;;;
3333;40.35;35;;;
3310;40.35;35;;;
3258;40.35;35;;;
3252;40.35;35;;;
3241;40.35;35;;;
3216;40.35;35;;;
3200;40.35;35;;;
3186;40.35;35;;;
3177;40.32;35;;;
3198;40.32;35;;;
3211;40.32;35;;;
3218;40.32;35;;;
3223;40.32;35;;;
3247;40.32;35;;;
3276;40.32;35;;;
3297;40.32;35;;;
3261;40.32;35;;;
3280;40.32;35;;;
3274;40.32;35;;;
3303;40.32;35;;;
3290;40.32;35;;;
3283;40.32;35;;;
3249;40.32;35;;;
3253;40.32;35;;;
3244;40.32;35;;;
3238;40.32;35;;;
3239;40.32;35;;;
3221;40.32;35;;;
3231;40.32;35;;;
3227;40.32;35;;;
3201;40.32;35;;;
3197;40.32;35;;;
3217;40.32;35;;;
3202;40.32;35;;;
3170;40.32;35;;;
3173;40.32;35;;;
3162;40.32;35;;;
3141;40.29;35;;;
3125;40.29;35;;;
3113;40.32;35;;;
3127;40.29;35;;;
3113;40.29;35;;;
3110;40.29;35;;;
3107;40.29;35;;;
3126;40.29;35;;;
3130;40.29;35;;;
3120;40.29;35;;;
3146;40.29;35;;;
3128;40.29;35;;;
3138;40.29;35;;;
3150;40.29;35;;;
3164;40.29;35;;;
3153;40.29;35;;;
3168;40.29;35;;;
3181;40.26;35;;;
3168;40.29;35;;;
3185;40.26;35;;;
3196;40.26;35;;;
3197;40.26;35;;;
3192;40.26;35;;;
3196;40.26;35;;;
3205;40.26;35;;;
3191;40.26;35;;;
3212;40.26;35;;;
3235;40.26;35;;;
3242;40.26;35;;;
3238;40.26;35;;;
3248;40.26;35;;;
3215;40.26;35;;;
3222;40.26;35;;;
3194;40.26;35;;;
3185;40.26;35;;;
3194;40.26;35;;;
3201;40.26;35;;;
3189;40.26;35;;;
3190;40.26;35;;;
3212;40.26;35;;;
3200;40.26;35;;;
3180;40.26;35;;;
