rad;T;elevazione;;media;dev std
3063;40.32;35;;3029,668966;24,55861898
3058;40.29;35;;;
3036;40.29;35;;;
3045;40.32;35;;;
3055;40.32;35;;;
3064;40.32;35;;;
3076;40.32;35;;;
3063;40.32;35;;;
3074;40.32;35;;;
3067;40.32;35;;;
3068;40.32;35;;;
3057;40.32;35;;;
3043;40.32;35;;;
3024;40.32;35;;;
3035;40.32;35;;;
3023;40.32;35;;;
3027;40.32;35;;;
3012;40.32;35;;;
2989;40.32;35;;;
3008;40.32;35;;;
3015;40.32;35;;;
3030;40.32;35;;;
3012;40.32;35;;;
3009;40.29;35;;;
3023;40.32;35;;;
3013;40.29;35;;;
3021;40.32;35;;;
3013;40.32;35;;;
3000;40.32;35;;;
2994;40.32;35;;;
3003;40.32;35;;;
2996;40.32;35;;;
2988;40.32;35;;;
2987;40.32;35;;;
2989;40.32;35;;;
2991;40.32;35;;;
3020;40.32;35;;;
3004;40.32;35;;;
2996;40.32;35;;;
2995;40.32;35;;;
2994;40.32;35;;;
2995;40.32;35;;;
2998;40.32;35;;;
3013;40.32;35;;;
3021;40.32;35;;;
3019;40.32;35;;;
3014;40.32;35;;;
3022;40.32;35;;;
3020;40.32;35;;;
3023;40.32;35;;;
3019;40.32;35;;;
3038;40.32;35;;;
3026;40.32;35;;;
3048;40.32;35;;;
3037;40.32;35;;;
3045;40.32;35;;;
3030;40.32;35;;;
3036;40.32;35;;;
3028;40.32;35;;;
3013;40.32;35;;;
3022;40.32;35;;;
3029;40.32;35;;;
3050;40.32;35;;;
3032;40.32;35;;;
3043;40.32;35;;;
3046;40.32;35;;;
3045;40.32;35;;;
3034;40.32;35;;;
3014;40.32;35;;;
3017;40.32;35;;;
3017;40.32;35;;;
3026;40.32;35;;;
3037;40.32;35;;;
3037;40.32;35;;;
3063;40.32;35;;;
3058;40.32;35;;;
3066;40.32;35;;;
3078;40.32;35;;;
3067;40.32;35;;;
3082;40.32;35;;;
3087;40.32;35;;;
3066;40.32;35;;;
3058;40.32;35;;;
3078;40.32;35;;;
3066;40.32;35;;;
3040;40.32;35;;;
3071;40.32;35;;;
3062;40.32;35;;;
3045;40.32;35;;;
3065;40.32;35;;;
3052;40.32;35;;;
3057;40.32;35;;;
3050;40.32;35;;;
3038;40.32;35;;;
3026;40.32;35;;;
3024;40.32;35;;;
3030;40.32;35;;;
3022;40.32;35;;;
3020;40.32;35;;;
2986;40.32;35;;;
2992;40.32;35;;;
3009;40.32;35;;;
3049;40.32;35;;;
3049;40.32;35;;;
3038;40.32;35;;;
3044;40.32;35;;;
3044;40.32;35;;;
3032;40.32;35;;;
3032;40.32;35;;;
3017;40.32;35;;;
3014;40.32;35;;;
3018;40.32;35;;;
3019;40.32;35;;;
2988;40.32;35;;;
3012;40.32;35;;;
3004;40.32;35;;;
3003;40.32;35;;;
3004;40.32;35;;;
3010;40.32;35;;;
3023;40.32;35;;;
3010;40.32;35;;;
3017;40.32;35;;;
3029;40.32;35;;;
3021;40.32;35;;;
3025;40.32;35;;;
3026;40.32;35;;;
2997;40.32;35;;;
3020;40.32;35;;;
3026;40.32;35;;;
3051;40.32;35;;;
3062;40.32;35;;;
3051;40.32;35;;;
3069;40.32;35;;;
3061;40.32;35;;;
3066;40.32;35;;;
3053;40.32;35;;;
3039;40.32;35;;;
3016;40.32;35;;;
3009;40.32;35;;;
3013;40.32;35;;;
2998;40.29;35;;;
2998;40.29;35;;;
3013;40.32;35;;;
2994;40.32;35;;;
3006;40.32;35;;;
