rad;T;elevaz;;;
2975;40.35;40;;media;dev std
2975;40.35;40;;3028,621668;74,14748719
2986;40.35;40;;;
2983;40.35;40;;;
2989;40.35;40;;;
2971;40.35;40;;;
2983;40.35;40;;;
2964;40.35;40;;;
2967;40.35;40;;;
2951;40.35;40;;;
2967;40.35;40;;;
2940;40.35;40;;;
2951;40.35;40;;;
2941;40.35;40;;;
2941;40.35;40;;;
2930;40.35;40;;;
2954;40.35;40;;;
2933;40.35;40;;;
2934;40.35;40;;;
2941;40.35;40;;;
2932;40.35;40;;;
2917;40.35;40;;;
2929;40.35;40;;;
2926;40.35;40;;;
2935;40.35;40;;;
2921;40.35;40;;;
2931;40.35;40;;;
2941;40.35;40;;;
2955;40.35;40;;;
2938;40.35;40;;;
2952;40.35;40;;;
2944;40.35;40;;;
2943;40.35;40;;;
2936;40.35;40;;;
2942;40.35;40;;;
2944;40.35;40;;;
2961;40.35;40;;;
2939;40.35;40;;;
2944;40.35;40;;;
2955;40.35;40;;;
2950;40.35;40;;;
2961;40.35;40;;;
2967;40.35;40;;;
2958;40.35;40;;;
2997;40.35;40;;;
3005;40.35;40;;;
3008;40.35;40;;;
2991;40.35;40;;;
2984;40.35;40;;;
2980;40.35;40;;;
2984;40.35;40;;;
2979;40.35;40;;;
2972;40.32;40;;;
2970;40.32;40;;;
2963;40.32;40;;;
2972;40.32;40;;;
2967;40.32;40;;;
2974;40.32;40;;;
2956;40.32;40;;;
2976;40.32;40;;;
2965;40.32;40;;;
3006;40.32;40;;;
2982;40.32;40;;;
2976;40.32;40;;;
2999;40.32;40;;;
2988;40.32;40;;;
3009;40.32;40;;;
3026;40.32;40;;;
3028;40.32;40;;;
3020;40.32;40;;;
3044;40.32;40;;;
3043;40.32;40;;;
3059;40.32;40;;;
3058;40.32;40;;;
3071;40.32;40;;;
3062;40.29;40;;;
3066;40.29;40;;;
3028;40.29;40;;;
3031;40.29;40;;;
3029;40.29;40;;;
3018;40.29;40;;;
3012;40.29;40;;;
3035;40.29;40;;;
3030;40.29;40;;;
3040;40.29;40;;;
3032;40.29;40;;;
