rad;T;elevaz;;media;dev std
2782;40.32;50;;2781,783069;37,69872936
2762;40.32;50;;;
2792;40.32;50;;;
2781;40.32;50;;;
2795;40.32;50;;;
2777;40.32;50;;;
2783;40.32;50;;;
2805;40.32;50;;;
2787;40.32;50;;;
2808;40.32;50;;;
2806;40.32;50;;;
2789;40.32;50;;;
2792;40.32;50;;;
2802;40.32;50;;;
2795;40.32;50;;;
2780;40.32;50;;;
2777;40.32;50;;;
2767;40.32;50;;;
2766;40.32;50;;;
2769;40.32;50;;;
2776;40.32;50;;;
2754;40.32;50;;;
2770;40.32;50;;;
2771;40.32;50;;;
2761;40.32;50;;;
2768;40.32;50;;;
2790;40.32;50;;;
2779;40.32;50;;;
2767;40.32;50;;;
2771;40.32;50;;;
2784;40.32;50;;;
2779;40.29;50;;;
2793;40.29;50;;;
2802;40.29;50;;;
2816;40.29;50;;;
2803;40.29;50;;;
2805;40.29;50;;;
2811;40.29;50;;;
2818;40.29;50;;;
2806;40.29;50;;;
2824;40.29;50;;;
2815;40.29;50;;;
2807;40.29;50;;;
2812;40.29;50;;;
2825;40.29;50;;;
2826;40.29;50;;;
2819;40.29;50;;;
2809;40.29;50;;;
2806;40.29;50;;;
2804;40.29;50;;;
2815;40.29;50;;;
2799;40.29;50;;;
2817;40.29;50;;;
2807;40.29;50;;;
2811;40.26;50;;;
2828;40.26;50;;;
2808;40.26;50;;;
2822;40.26;50;;;
2820;40.26;50;;;
2811;40.26;50;;;
2832;40.26;50;;;
2811;40.26;50;;;
2820;40.26;50;;;
2836;40.26;50;;;
2822;40.26;50;;;
2790;40.26;50;;;
2797;40.26;50;;;
2806;40.26;50;;;
2792;40.29;50;;;
2795;40.29;50;;;
2778;40.29;50;;;
2789;40.26;50;;;
2792;40.26;50;;;
2801;40.26;50;;;
2800;40.26;50;;;
2802;40.26;50;;;
2812;40.26;50;;;
2802;40.26;50;;;
2809;40.26;50;;;
2791;40.26;50;;;
2786;40.26;50;;;
2797;40.26;50;;;
2793;40.26;50;;;
2807;40.26;50;;;
2798;40.26;50;;;
2811;40.26;50;;;
2807;40.26;50;;;
2801;40.26;50;;;
2816;40.26;50;;;
2814;40.26;50;;;
2811;40.26;50;;;
2795;40.22;50;;;
2788;40.22;50;;;
2791;40.22;50;;;
2784;40.22;50;;;
2765;40.22;50;;;
2781;40.22;50;;;
2783;40.22;50;;;
2769;40.22;50;;;
2763;40.26;50;;;
2767;40.26;50;;;
2764;40.26;50;;;
2775;40.26;50;;;
2779;40.26;50;;;
2763;40.26;50;;;
2800;40.22;50;;;
2773;40.26;50;;;
2767;40.26;50;;;
2765;40.22;50;;;
2755;40.22;50;;;
2766;40.22;50;;;
2759;40.22;50;;;
2774;40.26;50;;;
2751;40.22;50;;;
2758;40.26;50;;;
2740;40.26;50;;;
2741;40.26;50;;;
2745;40.26;50;;;
2755;40.26;50;;;
2748;40.26;50;;;
2747;40.26;50;;;
2760;40.26;50;;;
2759;40.26;50;;;
2756;40.26;50;;;
2771;40.26;50;;;
2774;40.26;50;;;
2788;40.26;50;;;
2788;40.26;50;;;
2806;40.26;50;;;
2788;40.26;50;;;
2805;40.26;50;;;
2798;40.26;50;;;
2804;40.26;50;;;
2807;40.26;50;;;
2792;40.26;50;;;
2802;40.26;50;;;
2795;40.26;50;;;
2807;40.26;50;;;
2784;40.26;50;;;
2796;40.26;50;;;
2795;40.26;50;;;
2780;40.26;50;;;
2768;40.26;50;;;
2798;40.29;50;;;
2791;40.29;50;;;
2783;40.29;50;;;
2782;40.29;50;;;
2776;40.29;50;;;
2777;40.29;50;;;
2789;40.29;50;;;
2768;40.29;50;;;
2786;40.29;50;;;
2788;40.29;50;;;
2790;40.29;50;;;
2802;40.29;50;;;
2811;40.29;50;;;
2798;40.32;50;;;
2786;40.29;50;;;
2751;40.32;50;;;
2765;40.32;50;;;
2749;40.32;50;;;
2729;40.32;50;;;
2729;40.32;50;;;
2725;40.32;50;;;
2721;40.32;50;;;
2721;40.32;50;;;
2714;40.32;50;;;
2699;40.32;50;;;
2702;40.32;50;;;
2716;40.32;50;;;
2722;40.32;50;;;
2719;40.32;50;;;
2722;40.32;50;;;
2720;40.32;50;;;
2735;40.32;50;;;
2738;40.32;50;;;
2753;40.32;50;;;
2751;40.32;50;;;
2759;40.32;50;;;
2755;40.32;50;;;
2740;40.32;50;;;
2737;40.32;50;;;
2723;40.32;50;;;
2713;40.32;50;;;
2711;40.32;50;;;
2702;40.32;50;;;
2731;40.32;50;;;
2735;40.32;50;;;
2730;40.32;50;;;
2742;40.32;50;;;
2739;40.32;50;;;
2752;40.32;50;;;
2750;40.32;50;;;
2741;40.32;50;;;
2753;40.32;50;;;
2751;40.35;50;;;
2752;40.35;50;;;
2769;40.32;50;;;
2756;40.32;50;;;
2748;40.32;50;;;
2748;40.32;50;;;
2743;40.32;50;;;
