3690;40.35;20;;media;dev std
3688;40.35;20;;3558,982818;38,89494755
3661;40.35;20;;;
3642;40.35;20;;;
3640;40.35;20;;;
3622;40.35;20;;;
3597;40.35;20;;;
3590;40.35;20;;;
3589;40.35;20;;;
3614;40.35;20;;;
3580;40.35;20;;;
3587;40.35;20;;;
3597;40.35;20;;;
3619;40.35;20;;;
3610;40.35;20;;;
3639;40.35;20;;;
3655;40.35;20;;;
3638;40.35;20;;;
3655;40.35;20;;;
3637;40.35;20;;;
3649;40.35;20;;;
3608;40.35;20;;;
3615;40.35;20;;;
3607;40.35;20;;;
3599;40.35;20;;;
3594;40.35;20;;;
3584;40.35;20;;;
3580;40.35;20;;;
3563;40.35;20;;;
3575;40.35;20;;;
3578;40.35;20;;;
3587;40.35;20;;;
3594;40.35;20;;;
3592;40.35;20;;;
3595;40.35;20;;;
3592;40.35;20;;;
3591;40.35;20;;;
3596;40.35;20;;;
3596;40.35;20;;;
3584;40.35;20;;;
3590;40.35;20;;;
3579;40.35;20;;;
3562;40.35;20;;;
3557;40.35;20;;;
3570;40.35;20;;;
3561;40.35;20;;;
3559;40.35;20;;;
3542;40.35;20;;;
3548;40.35;20;;;
3567;40.35;20;;;
3546;40.35;20;;;
3557;40.35;20;;;
3550;40.35;20;;;
3551;40.35;20;;;
3552;40.35;20;;;
3556;40.35;20;;;
3564;40.35;20;;;
3568;40.35;20;;;
3579;40.35;20;;;
3583;40.35;20;;;
3576;40.35;20;;;
3554;40.35;20;;;
3577;40.35;20;;;
3577;40.35;20;;;
3565;40.32;20;;;
3561;40.32;20;;;
3569;40.32;20;;;
3558;40.32;20;;;
3563;40.32;20;;;
3556;40.32;20;;;
3564;40.32;20;;;
3538;40.32;20;;;
3542;40.32;20;;;
3528;40.32;20;;;
3560;40.32;20;;;
3556;40.32;20;;;
3557;40.32;20;;;
3551;40.32;20;;;
3542;40.32;20;;;
3546;40.32;20;;;
3544;40.32;20;;;
3549;40.32;20;;;
3542;40.32;20;;;
3550;40.29;20;;;
3548;40.29;20;;;
3551;40.29;20;;;
3573;40.29;20;;;
3555;40.29;20;;;
3566;40.29;20;;;
3558;40.29;20;;;
3561;40.29;20;;;
3571;40.29;20;;;
3572;40.29;20;;;
3598;40.29;20;;;
3593;40.29;20;;;
3587;40.29;20;;;
3600;40.29;20;;;
3613;40.29;20;;;
3619;40.29;20;;;
3629;40.29;20;;;
3629;40.29;20;;;
3618;40.29;20;;;
3608;40.26;20;;;
3629;40.26;20;;;
3624;40.26;20;;;
3640;40.26;20;;;
3647;40.26;20;;;
3611;40.26;20;;;
3611;40.26;20;;;
3608;40.26;20;;;
3609;40.26;20;;;
3616;40.26;20;;;
3616;40.26;20;;;
3592;40.26;20;;;
3594;40.26;20;;;
3594;40.26;20;;;
3591;40.26;20;;;
3594;40.26;20;;;
3586;40.26;20;;;
3572;40.26;20;;;
3585;40.26;20;;;
3569;40.26;20;;;
3591;40.26;20;;;
3586;40.26;20;;;
3556;40.22;20;;;
3576;40.22;20;;;
3563;40.22;20;;;
3555;40.22;20;;;
3564;40.22;20;;;
3577;40.26;20;;;
3567;40.22;20;;;
3556;40.22;20;;;
3561;40.22;20;;;
3565;40.22;20;;;
3557;40.22;20;;;
3555;40.22;20;;;
3560;40.22;20;;;
3577;40.22;20;;;
3574;40.22;20;;;
3579;40.22;20;;;
3564;40.22;20;;;
3588;40.22;20;;;
3571;40.22;20;;;
3590;40.22;20;;;
3577;40.22;20;;;
3571;40.22;20;;;
3571;40.22;20;;;
3584;40.22;20;;;
3581;40.22;20;;;
3562;40.22;20;;;
3585;40.22;20;;;
3561;40.22;20;;;
3579;40.22;20;;;
3563;40.22;20;;;
3566;40.22;20;;;
3548;40.22;20;;;
3555;40.22;20;;;
3567;40.22;20;;;
3544;40.22;20;;;
3553;40.22;20;;;
3555;40.22;20;;;
3541;40.22;20;;;
3532;40.22;20;;;
3539;40.22;20;;;
3533;40.22;20;;;
3533;40.22;20;;;
3529;40.22;20;;;
3502;40.22;20;;;
3531;40.22;20;;;
3547;40.22;20;;;
3553;40.22;20;;;
3571;40.22;20;;;
3570;40.22;20;;;
3577;40.22;20;;;
3582;40.22;20;;;
3569;40.22;20;;;
3576;40.22;20;;;
3555;40.22;20;;;
3551;40.26;20;;;
3574;40.26;20;;;
3575;40.26;20;;;
3589;40.22;20;;;
3573;40.22;20;;;
3592;40.22;20;;;
3594;40.26;20;;;
3604;40.26;20;;;
3597;40.26;20;;;
3589;40.26;20;;;
3576;40.26;20;;;
3572;40.26;20;;;
3559;40.26;20;;;
3554;40.26;20;;;
3542;40.26;20;;;
3550;40.26;20;;;
3552;40.26;20;;;
3534;40.26;20;;;
3541;40.26;20;;;
3522;40.26;20;;;
3514;40.26;20;;;
3526;40.26;20;;;
3526;40.26;20;;;
3517;40.26;20;;;
3507;40.26;20;;;
3510;40.26;20;;;
3513;40.26;20;;;
3496;40.26;20;;;
3501;40.26;20;;;
3496;40.26;20;;;
3488;40.26;20;;;
3496;40.26;20;;;
3495;40.29;20;;;
3476;40.29;20;;;
3488;40.29;20;;;
3481;40.29;20;;;
3495;40.29;20;;;
3510;40.29;20;;;
3501;40.29;20;;;
3506;40.29;20;;;
3519;40.29;20;;;
3525;40.29;20;;;
3504;40.29;20;;;
3529;40.32;20;;;
3504;40.32;20;;;
3497;40.32;20;;;
3504;40.32;20;;;
3495;40.32;20;;;
3513;40.32;20;;;
3535;40.32;20;;;
3535;40.32;20;;;
3510;40.32;20;;;
3532;40.32;20;;;
3513;40.32;20;;;
3527;40.35;20;;;
3501;40.35;20;;;
3514;40.35;20;;;
3506;40.35;20;;;
3530;40.35;20;;;
3511;40.35;20;;;
3500;40.35;20;;;
3525;40.35;20;;;
3507;40.35;20;;;
3509;40.35;20;;;
3502;40.35;20;;;
3509;40.35;20;;;
3502;40.35;20;;;
3510;40.35;20;;;
3503;40.35;20;;;
3512;40.35;20;;;
3526;40.35;20;;;
3512;40.38;20;;;
3537;40.38;20;;;
3510;40.38;20;;;
3537;40.38;20;;;
3526;40.38;20;;;
3529;40.38;20;;;
3517;40.38;20;;;
3528;40.38;20;;;
3517;40.38;20;;;
3516;40.38;20;;;
3520;40.38;20;;;
3515;40.38;20;;;
3513;40.38;20;;;
3521;40.38;20;;;
3525;40.38;20;;;
3519;40.38;20;;;
3522;40.38;20;;;
3520;40.38;20;;;
3527;40.38;20;;;
3536;40.38;20;;;
3523;40.38;20;;;
3523;40.38;20;;;
3524;40.38;20;;;
3532;40.38;20;;;
3541;40.38;20;;;
3553;40.38;20;;;
3560;40.38;20;;;
3557;40.38;20;;;
3565;40.38;20;;;
3531;40.38;20;;;
3535;40.38;20;;;
3531;40.38;20;;;
3550;40.38;20;;;
3553;40.38;20;;;
3538;40.38;20;;;
3538;40.38;20;;;
3537;40.38;20;;;
3525;40.38;20;;;
3524;40.38;20;;;
3516;40.38;20;;;
3515;40.38;20;;;
3529;40.38;20;;;
