               data_ora   rad  temperatura elevazione
2023-01-19 03:06:00.192  3721        40.22         25
2023-01-19 03:06:00.350  3718        40.22         25
2023-01-19 03:06:00.563  3716        40.22         25
2023-01-19 03:06:00.770  3720        40.22         25
2023-01-19 03:06:00.979  3701        40.22         25
2023-01-19 03:06:01.187  3673        40.26         25
2023-01-19 03:06:01.395  3684        40.26         25
2023-01-19 03:06:01.604  3646        40.26         25
2023-01-19 03:06:01.813  3619        40.26         25
2023-01-19 03:06:02.014  3607        40.22         25
2023-01-19 03:06:02.220  3590        40.22         25
2023-01-19 03:06:02.438  3591        40.22         25
2023-01-19 03:06:02.645  3574        40.22         25
2023-01-19 03:06:02.852  3615        40.22         25
2023-01-19 03:06:03.061  3666        40.22         25
2023-01-19 03:06:03.269  3702        40.22         25
2023-01-19 03:06:03.477  3752        40.22         25
2023-01-19 03:06:03.684  3822        40.22         25
2023-01-19 03:06:03.894  3881        40.22         25
2023-01-19 03:06:04.109  3941        40.22         25
2023-01-19 03:06:04.326  3982        40.22         25
2023-01-19 03:06:04.486  4000        40.22         25
2023-01-19 03:06:04.694  4021        40.22         25
2023-01-19 03:06:04.903  4022        40.22         25
2023-01-19 03:06:05.111  4018        40.22         25
2023-01-19 03:06:05.318  4019        40.22         25
2023-01-19 03:06:05.527  3997        40.22         25
2023-01-19 03:06:05.734  3953        40.22         25
2023-01-19 03:06:05.938  3910        40.22         25
2023-01-19 03:06:06.134  3866        40.22         25
2023-01-19 03:06:06.348  3795        40.22         25
2023-01-19 03:06:06.564  3746        40.22         25
2023-01-19 03:06:06.777  3706        40.22         25
2023-01-19 03:06:06.984  3660        40.22         25
2023-01-19 03:06:07.192  3624        40.22         25
2023-01-19 03:06:07.399  3594        40.26         25
2023-01-19 03:06:07.608  3563        40.26         25
2023-01-19 03:06:07.816  3522        40.26         25
2023-01-19 03:06:08.023  3495        40.26         25
2023-01-19 03:06:08.239  3505        40.26         25
2023-01-19 03:06:08.408  3479        40.26         25
2023-01-19 03:06:08.617  3467        40.26         25
2023-01-19 03:06:08.825  3473        40.26         25
2023-01-19 03:06:09.032  3489        40.26         25
2023-01-19 03:06:09.240  3467        40.26         25
2023-01-19 03:06:09.448  3499        40.26         25
2023-01-19 03:06:09.657  3497        40.26         25
2023-01-19 03:06:09.860  3515        40.26         25
2023-01-19 03:06:10.057  3518        40.26         25
2023-01-19 03:06:10.264  3539        40.26         25
2023-01-19 03:06:10.478  3552        40.26         25
2023-01-19 03:06:10.696  3588        40.26         25
2023-01-19 03:06:10.905  3588        40.26         25
2023-01-19 03:06:11.113  3602        40.26         25
2023-01-19 03:06:11.323  3592        40.29         25
2023-01-19 03:06:11.530  3623        40.29         25
2023-01-19 03:06:11.738  3607        40.29         25
2023-01-19 03:06:11.947  3620        40.29         25
2023-01-19 03:06:12.156  3635        40.29         25
2023-01-19 03:06:12.369  3661        40.29         25
2023-01-19 03:06:12.538  3653        40.29         25
2023-01-19 03:06:12.746  3677        40.29         25
2023-01-19 03:06:12.953  3685        40.29         25
2023-01-19 03:06:13.163  3699        40.29         25
2023-01-19 03:06:13.370  3693        40.29         25
2023-01-19 03:06:13.579  3676        40.29         25
2023-01-19 03:06:13.782  3689        40.29         25
2023-01-19 03:06:13.979  3696        40.29         25
2023-01-19 03:06:14.185  3675        40.29         25
2023-01-19 03:06:14.394  3644        40.29         25
2023-01-19 03:06:14.602  3651        40.29         25
2023-01-19 03:06:14.822  3610        40.32         25
2023-01-19 03:06:15.035  3595        40.32         25
2023-01-19 03:06:15.244  3568        40.32         25
2023-01-19 03:06:15.451  3538        40.32         25
2023-01-19 03:06:15.660  3535        40.32         25
2023-01-19 03:06:15.867  3516        40.32         25
2023-01-19 03:06:16.075  3505        40.32         25
2023-01-19 03:06:16.284  3516        40.32         25
2023-01-19 03:06:16.460  3555        40.32         25
2023-01-19 03:06:16.667  3606        40.32         25
2023-01-19 03:06:16.876  3659        40.32         25
2023-01-19 03:06:17.083  3725        40.32         25
2023-01-19 03:06:17.292  3806        40.32         25
2023-01-19 03:06:17.499  3831        40.32         25
2023-01-19 03:06:17.704  3888        40.32         25
2023-01-19 03:06:17.901  3925        40.32         25
2023-01-19 03:06:18.109  3923        40.35         25
2023-01-19 03:06:18.317  3932        40.35         25
2023-01-19 03:06:18.525  3943        40.35         25
2023-01-19 03:06:18.733  3907        40.35         25
2023-01-19 03:06:18.946  3862        40.35         25
2023-01-19 03:06:19.165  3826        40.35         25
2023-01-19 03:06:19.373  3789        40.35         25
2023-01-19 03:06:19.581  3747        40.35         25
2023-01-19 03:06:19.790  3728        40.35         25
2023-01-19 03:06:19.997  3702        40.35         25
2023-01-19 03:06:20.205  3704        40.35         25
2023-01-19 03:06:20.415  3705        40.35         25
2023-01-19 03:06:20.590  3719        40.35         25
2023-01-19 03:06:20.799  3723        40.35         25
2023-01-19 03:06:21.006  3731        40.35         25
2023-01-19 03:06:21.216  3748        40.35         25
2023-01-19 03:06:21.423  3731        40.35         25
2023-01-19 03:06:21.624  3734        40.35         25
2023-01-19 03:06:21.823  3724        40.35         25
2023-01-19 03:06:22.030  3710        40.35         25
2023-01-19 03:06:22.239  3686        40.35         25
2023-01-19 03:06:22.449  3656        40.38         25
2023-01-19 03:06:22.656  3626        40.38         25
2023-01-19 03:06:22.863  3609        40.38         25
2023-01-19 03:06:23.071  3602        40.38         25
2023-01-19 03:06:23.290  3598        40.38         25
2023-01-19 03:06:23.505  3592        40.38         25
2023-01-19 03:06:23.713  3585        40.38         25
2023-01-19 03:06:23.920  3629        40.38         25
2023-01-19 03:06:24.129  3633        40.38         25
2023-01-19 03:06:24.337  3663        40.38         25
2023-01-19 03:06:24.546  3670        40.38         25
2023-01-19 03:06:24.721  3678        40.38         25
2023-01-19 03:06:24.929  3656        40.38         25
2023-01-19 03:06:25.138  3649        40.38         25
2023-01-19 03:06:25.346  3654        40.38         25
2023-01-19 03:06:25.546  3640        40.38         25
2023-01-19 03:06:25.744  3613        40.38         25
2023-01-19 03:06:25.952  3600        40.38         25
2023-01-19 03:06:26.161  3568        40.38         25
2023-01-19 03:06:26.367  3537        40.38         25
2023-01-19 03:06:26.577  3520        40.38         25
2023-01-19 03:06:26.784  3516        40.38         25
2023-01-19 03:06:27.019  3515        40.38         25
2023-01-19 03:06:27.203  3508        40.38         25
2023-01-19 03:06:27.416  3502        40.38         25
2023-01-19 03:06:27.631  3512        40.38         25
2023-01-19 03:06:27.840  3515        40.38         25
2023-01-19 03:06:28.049  3520        40.38         25
2023-01-19 03:06:28.258  3518        40.38         25
2023-01-19 03:06:28.466  3526        40.38         25
2023-01-19 03:06:28.675  3542        40.38         25
2023-01-19 03:06:28.851  3538        40.38         25
2023-01-19 03:06:29.059  3554        40.38         25
2023-01-19 03:06:29.267  3557        40.38         25
2023-01-19 03:06:29.466  3535        40.38         25
2023-01-19 03:06:29.668  3531        40.38         25
2023-01-19 03:06:29.876  3525        40.38         25
2023-01-19 03:06:30.082  3522        40.38         25
2023-01-19 03:06:30.292  3550        40.38         25
2023-01-19 03:06:30.501  3526        40.38         25
2023-01-19 03:06:30.708  3526        40.38         25
2023-01-19 03:06:30.917  3528        40.38         25
2023-01-19 03:06:31.125  3528        40.38         25
2023-01-19 03:06:31.334  3528        40.38         25
2023-01-19 03:06:31.541  3519        40.38         25
2023-01-19 03:06:31.760  3542        40.38         25
2023-01-19 03:06:31.974  3546        40.38         25
2023-01-19 03:06:32.180  3548        40.38         25
2023-01-19 03:06:32.389  3547        40.38         25
2023-01-19 03:06:32.597  3565        40.38         25
2023-01-19 03:06:32.773  3568        40.38         25
2023-01-19 03:06:32.982  3575        40.38         25
2023-01-19 03:06:33.188  3588        40.38         25
2023-01-19 03:06:33.398  3595        40.38         25
2023-01-19 03:06:33.604  3580        40.38         25
2023-01-19 03:06:33.797  3601        40.38         25
2023-01-19 03:06:34.006  3618        40.38         25
2023-01-19 03:06:34.214  3642        40.38         25
2023-01-19 03:06:34.423  3618        40.35         25
2023-01-19 03:06:34.631  3632        40.35         25
2023-01-19 03:06:34.838  3632        40.35         25
2023-01-19 03:06:35.046  3635        40.35         25
2023-01-19 03:06:35.255  3653        40.35         25
2023-01-19 03:06:35.462  3647        40.35         25
2023-01-19 03:06:35.672  3651        40.35         25
2023-01-19 03:06:35.884  3663        40.35         25
2023-01-19 03:06:36.101  3668        40.35         25
2023-01-19 03:06:36.310  3671        40.35         25
2023-01-19 03:06:36.519  3670        40.35         25
2023-01-19 03:06:36.726  3654        40.35         25
2023-01-19 03:06:36.904  3644        40.35         25
2023-01-19 03:06:37.108  3659        40.35         25
2023-01-19 03:06:37.308  3671        40.35         25
2023-01-19 03:06:37.512  3657        40.35         25
2023-01-19 03:06:37.721  3660        40.35         25
2023-01-19 03:06:37.929  3658        40.35         25
2023-01-19 03:06:38.135  3676        40.35         25
2023-01-19 03:06:38.344  3683        40.35         25
2023-01-19 03:06:38.550  3689        40.35         25
2023-01-19 03:06:38.759  3684        40.35         25
2023-01-19 03:06:38.968  3665        40.32         25
2023-01-19 03:06:39.175  3668        40.32         25
2023-01-19 03:06:39.386  3666        40.32         25
2023-01-19 03:06:39.593  3672        40.32         25
2023-01-19 03:06:39.800  3691        40.32         25
2023-01-19 03:06:40.008  3671        40.32         25
2023-01-19 03:06:40.226  3672        40.32         25
2023-01-19 03:06:40.440  3670        40.32         25
2023-01-19 03:06:40.650  3655        40.32         25
2023-01-19 03:06:40.858  3661        40.32         25
2023-01-19 03:06:41.029  3649        40.32         25
2023-01-19 03:06:41.226  3660        40.29         25
2023-01-19 03:06:41.433  3676        40.32         25
2023-01-19 03:06:41.643  3682        40.29         25
2023-01-19 03:06:41.851  3661        40.29         25
2023-01-19 03:06:42.058  3668        40.29         25
2023-01-19 03:06:42.266  3642        40.29         25
2023-01-19 03:06:42.475  3650        40.29         25
2023-01-19 03:06:42.682  3653        40.29         25
2023-01-19 03:06:42.889  3621        40.29         25
2023-01-19 03:06:43.099  3612        40.29         25
2023-01-19 03:06:43.307  3618        40.29         25
2023-01-19 03:06:43.514  3625        40.29         25
2023-01-19 03:06:43.723  3613        40.29         25
2023-01-19 03:06:43.932  3594        40.29         25
2023-01-19 03:06:44.139  3568        40.29         25
2023-01-19 03:06:44.352  3591        40.29         25
2023-01-19 03:06:44.569  3574        40.29         25
2023-01-19 03:06:44.780  3577        40.29         25
2023-01-19 03:06:44.949  3578        40.29         25
2023-01-19 03:06:45.149  3591        40.29         25
2023-01-19 03:06:45.356  3577        40.29         25
2023-01-19 03:06:45.565  3585        40.29         25
2023-01-19 03:06:45.771  3592        40.29         25
2023-01-19 03:06:45.982  3562        40.29         25
2023-01-19 03:06:46.190  3587        40.26         25
2023-01-19 03:06:46.398  3579        40.29         25
2023-01-19 03:06:46.605  3562        40.26         25
2023-01-19 03:06:46.810  3554        40.26         25
2023-01-19 03:06:47.022  3546        40.26         25
2023-01-19 03:06:47.229  3542        40.26         25
2023-01-19 03:06:47.438  3551        40.26         25
2023-01-19 03:06:47.646  3533        40.26         25
2023-01-19 03:06:47.854  3525        40.26         25
2023-01-19 03:06:48.062  3523        40.26         25
2023-01-19 03:06:48.271  3514        40.26         25
