rad;temperatura;elevazione;;;
3767;40.29;25;;media;dev std
3749;40.29;25;;3796,323302;85,80146819
3744;40.29;25;;;
3752;40.29;25;;;
3739;40.29;25;;;
3725;40.29;25;;;
3704;40.29;25;;;
3691;40.29;25;;;
3701;40.29;25;;;
3667;40.29;25;;;
3678;40.29;25;;;
3672;40.29;25;;;
3675;40.29;25;;;
3691;40.29;25;;;
3657;40.29;25;;;
3655;40.29;25;;;
3669;40.29;25;;;
3684;40.29;25;;;
3667;40.29;25;;;
3660;40.29;25;;;
3663;40.29;25;;;
3670;40.29;25;;;
3673;40.29;25;;;
3654;40.29;25;;;
3660;40.29;25;;;
3652;40.29;25;;;
3644;40.29;25;;;
3637;40.29;25;;;
3643;40.29;25;;;
3660;40.29;25;;;
3642;40.29;25;;;
3651;40.29;25;;;
3668;40.29;25;;;
3702;40.29;25;;;
3719;40.29;25;;;
3717;40.29;25;;;
3735;40.29;25;;;
3748;40.29;25;;;
3752;40.29;25;;;
3747;40.29;25;;;
3772;40.29;25;;;
3755;40.29;25;;;
3743;40.29;25;;;
3757;40.29;25;;;
3725;40.29;25;;;
3722;40.29;25;;;
3711;40.29;25;;;
3703;40.29;25;;;
3706;40.29;25;;;
3705;40.29;25;;;
3713;40.29;25;;;
3731;40.29;25;;;
3705;40.29;25;;;
3710;40.29;25;;;
3707;40.29;25;;;
3715;40.29;25;;;
3723;40.29;25;;;
3730;40.29;25;;;
3745;40.29;25;;;
3740;40.29;25;;;
3745;40.29;25;;;
3753;40.29;25;;;
3762;40.29;25;;;
3765;40.29;25;;;
3770;40.29;25;;;
3746;40.29;25;;;
3744;40.29;25;;;
3744;40.29;25;;;
3759;40.29;25;;;
3774;40.29;25;;;
3777;40.29;25;;;
3761;40.29;25;;;
3764;40.29;25;;;
3753;40.29;25;;;
3764;40.29;25;;;
3756;40.29;25;;;
3795;40.29;25;;;
3777;40.29;25;;;
3789;40.29;25;;;
3789;40.29;25;;;
3775;40.29;25;;;
3783;40.29;25;;;
3800;40.29;25;;;
3816;40.29;25;;;
3806;40.29;25;;;
3801;40.29;25;;;
3790;40.29;25;;;
3801;40.29;25;;;
3784;40.29;25;;;
3801;40.29;25;;;
3772;40.29;25;;;
3768;40.29;25;;;
3756;40.29;25;;;
3724;40.29;25;;;
3718;40.29;25;;;
3712;40.29;25;;;
3701;40.29;25;;;
3708;40.29;25;;;
3714;40.29;25;;;
3712;40.29;25;;;
3695;40.29;25;;;
3698;40.29;25;;;
3720;40.29;25;;;
3713;40.29;25;;;
3734;40.29;25;;;
3744;40.29;25;;;
3749;40.29;25;;;
3762;40.29;25;;;
3772;40.29;25;;;
3775;40.29;25;;;
3762;40.29;25;;;
3764;40.29;25;;;
3762;40.29;25;;;
3762;40.29;25;;;
3751;40.29;25;;;
3764;40.29;25;;;
3763;40.29;25;;;
3752;40.29;25;;;
3739;40.29;25;;;
3747;40.29;25;;;
3739;40.29;25;;;
3737;40.29;25;;;
3728;40.29;25;;;
3734;40.29;25;;;
3717;40.29;25;;;
3730;40.29;25;;;
3722;40.29;25;;;
3724;40.29;25;;;
3730;40.29;25;;;
3734;40.29;25;;;
3767;40.29;25;;;
3736;40.29;25;;;
3726;40.29;25;;;
