elevazione;T;elevazione;;media;dev std
2903;40.26;30;;2915,525229;28,23190998
2903;40.26;30;;;
2907;40.26;30;;;
2897;40.26;30;;;
2905;40.26;30;;;
2928;40.26;30;;;
2918;40.26;30;;;
2933;40.26;30;;;
2946;40.26;30;;;
2964;40.26;30;;;
2979;40.26;30;;;
2966;40.26;30;;;
2983;40.26;30;;;
2974;40.26;30;;;
2975;40.26;30;;;
2978;40.26;30;;;
2954;40.26;30;;;
2959;40.26;30;;;
2953;40.26;30;;;
2964;40.26;30;;;
2920;40.26;30;;;
2939;40.26;30;;;
2896;40.26;30;;;
2898;40.26;30;;;
2895;40.26;30;;;
2884;40.26;30;;;
2899;40.26;30;;;
2902;40.26;30;;;
2899;40.26;30;;;
2916;40.26;30;;;
2914;40.26;30;;;
2926;40.26;30;;;
2922;40.26;30;;;
2947;40.26;30;;;
2951;40.26;30;;;
2948;40.26;30;;;
2961;40.26;30;;;
2973;40.26;30;;;
2987;40.26;30;;;
2975;40.26;30;;;
2969;40.26;30;;;
2985;40.26;30;;;
2973;40.26;30;;;
2963;40.26;30;;;
2987;40.26;30;;;
2956;40.26;30;;;
2955;40.26;30;;;
2945;40.26;30;;;
2928;40.26;30;;;
2915;40.26;30;;;
2906;40.26;30;;;
2924;40.26;30;;;
2908;40.26;30;;;
2932;40.26;30;;;
2914;40.26;30;;;
2911;40.26;30;;;
2924;40.26;30;;;
2937;40.26;30;;;
2928;40.26;30;;;
2906;40.26;30;;;
2919;40.26;30;;;
2939;40.26;30;;;
2940;40.26;30;;;
2943;40.26;30;;;
2949;40.26;30;;;
2945;40.26;30;;;
2952;40.26;30;;;
2938;40.26;30;;;
2922;40.26;30;;;
2906;40.26;30;;;
2896;40.26;30;;;
2888;40.26;30;;;
2879;40.29;30;;;
2879;40.29;30;;;
2888;40.29;30;;;
2893;40.29;30;;;
2903;40.29;30;;;
2914;40.29;30;;;
2922;40.29;30;;;
2925;40.29;30;;;
2904;40.29;30;;;
2922;40.29;30;;;
2920;40.29;30;;;
2905;40.29;30;;;
2901;40.29;30;;;
2910;40.29;30;;;
2886;40.29;30;;;
2915;40.29;30;;;
2918;40.29;30;;;
2904;40.29;30;;;
2897;40.29;30;;;
2921;40.29;30;;;
2913;40.29;30;;;
2927;40.29;30;;;
2942;40.29;30;;;
2918;40.29;30;;;
2909;40.29;30;;;
2903;40.29;30;;;
2908;40.29;30;;;
2899;40.29;30;;;
2900;40.29;30;;;
2920;40.29;30;;;
2898;40.29;30;;;
2896;40.29;30;;;
2896;40.29;30;;;
2905;40.29;30;;;
2912;40.29;30;;;
2891;40.29;30;;;
2890;40.29;30;;;
2909;40.29;30;;;
2908;40.32;30;;;
2909;40.32;30;;;
2892;40.32;30;;;
2894;40.32;30;;;
2889;40.32;30;;;
2906;40.32;30;;;
2889;40.32;30;;;
2896;40.32;30;;;
2896;40.32;30;;;
2902;40.32;30;;;
2894;40.32;30;;;
2898;40.32;30;;;
2887;40.32;30;;;
2892;40.32;30;;;
2909;40.32;30;;;
