rad;T;elevazione;;media;dev std
2989;40.41;40;;3083,296552;39,34906538
3003;40.41;40;;;
3033;40.41;40;;;
3024;40.41;40;;;
3041;40.41;40;;;
3030;40.41;40;;;
3045;40.41;40;;;
3037;40.41;40;;;
3036;40.41;40;;;
3047;40.41;40;;;
3049;40.41;40;;;
3028;40.41;40;;;
3031;40.41;40;;;
3035;40.38;40;;;
3023;40.38;40;;;
3013;40.38;40;;;
3024;40.38;40;;;
3003;40.38;40;;;
3016;40.38;40;;;
3043;40.38;40;;;
3039;40.38;40;;;
3044;40.38;40;;;
3055;40.38;40;;;
3056;40.38;40;;;
3060;40.38;40;;;
3076;40.38;40;;;
3092;40.38;40;;;
3097;40.38;40;;;
3113;40.38;40;;;
3097;40.38;40;;;
3073;40.38;40;;;
3093;40.38;40;;;
3092;40.38;40;;;
3067;40.38;40;;;
3064;40.38;40;;;
3054;40.38;40;;;
3061;40.38;40;;;
3074;40.38;40;;;
3050;40.38;40;;;
3077;40.38;40;;;
3071;40.35;40;;;
3082;40.35;40;;;
3073;40.35;40;;;
3066;40.35;40;;;
3072;40.35;40;;;
3069;40.35;40;;;
3069;40.35;40;;;
3065;40.35;40;;;
3068;40.35;40;;;
3065;40.35;40;;;
3078;40.35;40;;;
3077;40.35;40;;;
3088;40.35;40;;;
3082;40.35;40;;;
3066;40.35;40;;;
3067;40.35;40;;;
3065;40.32;40;;;
3065;40.32;40;;;
3065;40.35;40;;;
3062;40.32;40;;;
3051;40.32;40;;;
3059;40.32;40;;;
3042;40.32;40;;;
3046;40.32;40;;;
3045;40.32;40;;;
3049;40.32;40;;;
3042;40.32;40;;;
3044;40.32;40;;;
3036;40.32;40;;;
3046;40.32;40;;;
3043;40.32;40;;;
3064;40.32;40;;;
3049;40.32;40;;;
3037;40.32;40;;;
3046;40.32;40;;;
3043;40.32;40;;;
3040;40.29;40;;;
3059;40.29;40;;;
3065;40.29;40;;;
3071;40.29;40;;;
3068;40.29;40;;;
3071;40.29;40;;;
3090;40.29;40;;;
3086;40.29;40;;;
3086;40.29;40;;;
3095;40.29;40;;;
3105;40.29;40;;;
3119;40.29;40;;;
3122;40.29;40;;;
3117;40.29;40;;;
3112;40.29;40;;;
3116;40.29;40;;;
3101;40.26;40;;;
3117;40.26;40;;;
3109;40.26;40;;;
3124;40.26;40;;;
3111;40.26;40;;;
3129;40.26;40;;;
3127;40.26;40;;;
3116;40.26;40;;;
3126;40.26;40;;;
3145;40.26;40;;;
3124;40.26;40;;;
3124;40.26;40;;;
3133;40.26;40;;;
3153;40.26;40;;;
3134;40.26;40;;;
3138;40.26;40;;;
3137;40.26;40;;;
3136;40.26;40;;;
3140;40.22;40;;;
3111;40.22;40;;;
3106;40.22;40;;;
3104;40.22;40;;;
3096;40.22;40;;;
3099;40.22;40;;;
3108;40.22;40;;;
3108;40.22;40;;;
3093;40.22;40;;;
3088;40.22;40;;;
3091;40.22;40;;;
3084;40.22;40;;;
3085;40.22;40;;;
3111;40.22;40;;;
3088;40.22;40;;;
3112;40.22;40;;;
3112;40.22;40;;;
3113;40.22;40;;;
3114;40.22;40;;;
3119;40.22;40;;;
3122;40.22;40;;;
3109;40.22;40;;;
3122;40.22;40;;;
3136;40.22;40;;;
3139;40.22;40;;;
3170;40.22;40;;;
3158;40.22;40;;;
3168;40.22;40;;;
3175;40.22;40;;;
3160;40.22;40;;;
3142;40.22;40;;;
3135;40.19;40;;;
3148;40.22;40;;;
3142;40.22;40;;;
3123;40.22;40;;;
