rad;T;elevaz;;media;dev std
2787;40.29;45;;2845,46039;47,95874712
2775;40.29;45;;;
2770;40.29;45;;;
2775;40.29;45;;;
2782;40.32;45;;;
2767;40.29;45;;;
2778;40.32;45;;;
2796;40.32;45;;;
2806;40.32;45;;;
2797;40.32;45;;;
2807;40.32;45;;;
2810;40.32;45;;;
2820;40.32;45;;;
2800;40.32;45;;;
2813;40.32;45;;;
2823;40.32;45;;;
2813;40.32;45;;;
2801;40.32;45;;;
2803;40.32;45;;;
2813;40.32;45;;;
2818;40.35;45;;;
2820;40.35;45;;;
2830;40.35;45;;;
2828;40.35;45;;;
2830;40.35;45;;;
2842;40.35;45;;;
2842;40.35;45;;;
2862;40.35;45;;;
2841;40.35;45;;;
2819;40.35;45;;;
2828;40.35;45;;;
2826;40.35;45;;;
2812;40.35;45;;;
2811;40.35;45;;;
2791;40.35;45;;;
2793;40.35;45;;;
2785;40.35;45;;;
2798;40.35;45;;;
2776;40.35;45;;;
2782;40.35;45;;;
2784;40.35;45;;;
2801;40.38;45;;;
2784;40.38;45;;;
2785;40.38;45;;;
2812;40.38;45;;;
2779;40.38;45;;;
2809;40.38;45;;;
2796;40.38;45;;;
2792;40.38;45;;;
2787;40.38;45;;;
2788;40.38;45;;;
2790;40.35;45;;;
2787;40.35;45;;;
2811;40.38;45;;;
2786;40.38;45;;;
2779;40.38;45;;;
2796;40.38;45;;;
2791;40.38;45;;;
2776;40.38;45;;;
2779;40.38;45;;;
2786;40.38;45;;;
2780;40.38;45;;;
2789;40.38;45;;;
2779;40.38;45;;;
2791;40.38;45;;;
2785;40.38;45;;;
2782;40.38;45;;;
2788;40.38;45;;;
2788;40.38;45;;;
2794;40.38;45;;;
2791;40.35;45;;;
2796;40.38;45;;;
2814;40.38;45;;;
2820;40.38;45;;;
2790;40.35;45;;;
2812;40.35;45;;;
2827;40.35;45;;;
2827;40.38;45;;;
2837;40.38;45;;;
2845;40.35;45;;;
2843;40.35;45;;;
2849;40.35;45;;;
2856;40.35;45;;;
2855;40.38;45;;;
2845;40.35;45;;;
2846;40.35;45;;;
2840;40.35;45;;;
2851;40.35;45;;;
2865;40.35;45;;;
2845;40.35;45;;;
2857;40.35;45;;;
2875;40.35;45;;;
2868;40.35;45;;;
2884;40.35;45;;;
2895;40.35;45;;;
2906;40.35;45;;;
2881;40.35;45;;;
2884;40.35;45;;;
2911;40.35;45;;;
2897;40.35;45;;;
2896;40.35;45;;;
2902;40.35;45;;;
2877;40.35;45;;;
2881;40.35;45;;;
2887;40.35;45;;;
2881;40.35;45;;;
2876;40.35;45;;;
2874;40.35;45;;;
2845;40.35;45;;;
2841;40.35;45;;;
2822;40.35;45;;;
2815;40.35;45;;;
2833;40.35;45;;;
2819;40.35;45;;;
2825;40.35;45;;;
2809;40.35;45;;;
2826;40.35;45;;;
2817;40.35;45;;;
2807;40.35;45;;;
2810;40.35;45;;;
2807;40.35;45;;;
2785;40.35;45;;;
2791;40.35;45;;;
2797;40.35;45;;;
2792;40.35;45;;;
2788;40.35;45;;;
2782;40.35;45;;;
2771;40.35;45;;;
2795;40.35;45;;;
2779;40.35;45;;;
2790;40.35;45;;;
2777;40.35;45;;;
2814;40.35;45;;;
2811;40.32;45;;;
2803;40.32;45;;;
2816;40.32;45;;;
2821;40.32;45;;;
2815;40.32;45;;;
2818;40.32;45;;;
2815;40.32;45;;;
2821;40.32;45;;;
2827;40.32;45;;;
2823;40.32;45;;;
2809;40.32;45;;;
2825;40.32;45;;;
2817;40.32;45;;;
2812;40.32;45;;;
2787;40.32;45;;;
2791;40.32;45;;;
2771;40.32;45;;;
2784;40.32;45;;;
2790;40.32;45;;;
2776;40.32;45;;;
2796;40.29;45;;;
2801;40.29;45;;;
2780;40.29;45;;;
2796;40.29;45;;;
2800;40.29;45;;;
2811;40.29;45;;;
2792;40.29;45;;;
2787;40.29;45;;;
2811;40.29;45;;;
2808;40.29;45;;;
2839;40.29;45;;;
2819;40.29;45;;;
2821;40.29;45;;;
2828;40.29;45;;;
2836;40.29;45;;;
2838;40.29;45;;;
2851;40.29;45;;;
2864;40.29;45;;;
2858;40.26;45;;;
2856;40.26;45;;;
2880;40.26;45;;;
2884;40.26;45;;;
2885;40.26;45;;;
2863;40.26;45;;;
2855;40.26;45;;;
2848;40.26;45;;;
2846;40.26;45;;;
2855;40.26;45;;;
2881;40.26;45;;;
2863;40.26;45;;;
2890;40.26;45;;;
2890;40.26;45;;;
2880;40.26;45;;;
2867;40.26;45;;;
2857;40.26;45;;;
2856;40.26;45;;;
2843;40.26;45;;;
2831;40.26;45;;;
2837;40.26;45;;;
2838;40.26;45;;;
2841;40.26;45;;;
2839;40.26;45;;;
2821;40.26;45;;;
2829;40.26;45;;;
2805;40.26;45;;;
2812;40.26;45;;;
2800;40.26;45;;;
2784;40.26;45;;;
2790;40.26;45;;;
2789;40.26;45;;;
2769;40.26;45;;;
2770;40.22;45;;;
2798;40.26;45;;;
2806;40.22;45;;;
2820;40.26;45;;;
2815;40.22;45;;;
2811;40.26;45;;;
2826;40.26;45;;;
2834;40.22;45;;;
2824;40.22;45;;;
2856;40.26;45;;;
2878;40.26;45;;;
2864;40.26;45;;;
2866;40.26;45;;;
2881;40.22;45;;;
2868;40.22;45;;;
2881;40.22;45;;;
2854;40.22;45;;;
2874;40.22;45;;;
2865;40.22;45;;;
2882;40.22;45;;;
2886;40.22;45;;;
2890;40.26;45;;;
2869;40.26;45;;;
2857;40.26;45;;;
2838;40.26;45;;;
2844;40.26;45;;;
2819;40.26;45;;;
2805;40.26;45;;;
2821;40.26;45;;;
2813;40.26;45;;;
2810;40.26;45;;;
2821;40.26;45;;;
2828;40.26;45;;;
2835;40.26;45;;;
2841;40.26;45;;;
2849;40.26;45;;;
2841;40.26;45;;;
2854;40.26;45;;;
2843;40.26;45;;;
2863;40.22;45;;;
2863;40.22;45;;;
2869;40.26;45;;;
2866;40.26;45;;;
2867;40.26;45;;;
2867;40.22;45;;;
2875;40.26;45;;;
2860;40.26;45;;;
2853;40.26;45;;;
2867;40.26;45;;;
2851;40.26;45;;;
2861;40.26;45;;;
2887;40.26;45;;;
2886;40.26;45;;;
2891;40.26;45;;;
2903;40.26;45;;;
2896;40.26;45;;;
2901;40.26;45;;;
2886;40.26;45;;;
2880;40.26;45;;;
2870;40.26;45;;;
2873;40.26;45;;;
2869;40.26;45;;;
2861;40.26;45;;;
2866;40.26;45;;;
2842;40.26;45;;;
2868;40.26;45;;;
2864;40.26;45;;;
2864;40.26;45;;;
2864;40.26;45;;;
2865;40.26;45;;;
2854;40.26;45;;;
2871;40.29;45;;;
2843;40.29;45;;;
2843;40.29;45;;;
2856;40.29;45;;;
2878;40.26;45;;;
2874;40.26;45;;;
2896;40.26;45;;;
2907;40.26;45;;;
2912;40.26;45;;;
2908;40.29;45;;;
2905;40.29;45;;;
2902;40.29;45;;;
2885;40.29;45;;;
2890;40.29;45;;;
2890;40.29;45;;;
2873;40.29;45;;;
2870;40.29;45;;;
2884;40.29;45;;;
2879;40.29;45;;;
2885;40.29;45;;;
2902;40.29;45;;;
2903;40.29;45;;;
2930;40.29;45;;;
2934;40.29;45;;;
2942;40.32;45;;;
2957;40.32;45;;;
2957;40.32;45;;;
2946;40.32;45;;;
2920;40.32;45;;;
2913;40.32;45;;;
2895;40.32;45;;;
2889;40.32;45;;;
2872;40.32;45;;;
2869;40.32;45;;;
2874;40.32;45;;;
2863;40.32;45;;;
2873;40.32;45;;;
2880;40.32;45;;;
2891;40.32;45;;;
2891;40.32;45;;;
2917;40.32;45;;;
2909;40.32;45;;;
2908;40.32;45;;;
2913;40.32;45;;;
2917;40.32;45;;;
2912;40.32;45;;;
2916;40.32;45;;;
2906;40.35;45;;;
2906;40.35;45;;;
2896;40.35;45;;;
2905;40.35;45;;;
2865;40.35;45;;;
2873;40.35;45;;;
2872;40.35;45;;;
2855;40.35;45;;;
2846;40.35;45;;;
2835;40.35;45;;;
2824;40.35;45;;;
2803;40.35;45;;;
2810;40.35;45;;;
2796;40.35;45;;;
2794;40.35;45;;;
2787;40.35;45;;;
2787;40.35;45;;;
2777;40.35;45;;;
2799;40.35;45;;;
2785;40.35;45;;;
2803;40.35;45;;;
2802;40.35;45;;;
2799;40.38;45;;;
2819;40.35;45;;;
2817;40.35;45;;;
2803;40.35;45;;;
2815;40.38;45;;;
2809;40.38;45;;;
2827;40.38;45;;;
2831;40.38;45;;;
2815;40.38;45;;;
2802;40.38;45;;;
2807;40.38;45;;;
2800;40.38;45;;;
2786;40.35;45;;;
2787;40.35;45;;;
2774;40.35;45;;;
2779;40.35;45;;;
2788;40.35;45;;;
2765;40.35;45;;;
2774;40.35;45;;;
2762;40.35;45;;;
2772;40.35;45;;;
2779;40.35;45;;;
2775;40.35;45;;;
2768;40.35;45;;;
2779;40.35;45;;;
2789;40.35;45;;;
2779;40.35;45;;;
2804;40.35;45;;;
2804;40.35;45;;;
2784;40.35;45;;;
