               data_ora   rad  temperatura elevazione
2023-01-19 04:08:00.114  2787        40.29         45
2023-01-19 04:08:00.331  2775        40.29         45
2023-01-19 04:08:00.540  2770        40.29         45
2023-01-19 04:08:00.748  2775        40.29         45
2023-01-19 04:08:00.956  2782        40.32         45
2023-01-19 04:08:01.165  2767        40.29         45
2023-01-19 04:08:01.340  2778        40.32         45
2023-01-19 04:08:01.548  2796        40.32         45
2023-01-19 04:08:01.756  2806        40.32         45
2023-01-19 04:08:01.960  2797        40.32         45
2023-01-19 04:08:02.156  2807        40.32         45
2023-01-19 04:08:02.365  2810        40.32         45
2023-01-19 04:08:02.573  2820        40.32         45
2023-01-19 04:08:02.781  2800        40.32         45
2023-01-19 04:08:02.990  2813        40.32         45
2023-01-19 04:08:03.197  2823        40.32         45
2023-01-19 04:08:03.405  2813        40.32         45
2023-01-19 04:08:03.613  2801        40.32         45
2023-01-19 04:08:03.821  2803        40.32         45
2023-01-19 04:08:04.031  2813        40.32         45
2023-01-19 04:08:04.238  2818        40.35         45
2023-01-19 04:08:04.453  2820        40.35         45
2023-01-19 04:08:04.670  2830        40.35         45
2023-01-19 04:08:04.877  2828        40.35         45
2023-01-19 04:08:05.086  2830        40.35         45
2023-01-19 04:08:05.294  2842        40.35         45
2023-01-19 04:08:05.470  2842        40.35         45
2023-01-19 04:08:05.679  2862        40.35         45
2023-01-19 04:08:05.878  2841        40.35         45
2023-01-19 04:08:06.079  2819        40.35         45
2023-01-19 04:08:06.287  2828        40.35         45
2023-01-19 04:08:06.494  2826        40.35         45
2023-01-19 04:08:06.703  2812        40.35         45
2023-01-19 04:08:06.911  2811        40.35         45
2023-01-19 04:08:07.120  2791        40.35         45
2023-01-19 04:08:07.328  2793        40.35         45
2023-01-19 04:08:07.536  2785        40.35         45
2023-01-19 04:08:07.743  2798        40.35         45
2023-01-19 04:08:07.951  2776        40.35         45
2023-01-19 04:08:08.160  2782        40.35         45
2023-01-19 04:08:08.368  2784        40.35         45
2023-01-19 04:08:08.576  2801        40.38         45
2023-01-19 04:08:08.797  2784        40.38         45
2023-01-19 04:08:09.009  2785        40.38         45
2023-01-19 04:08:09.233  2812        40.38         45
2023-01-19 04:08:09.441  2779        40.38         45
2023-01-19 04:08:09.601  2809        40.38         45
2023-01-19 04:08:09.798  2796        40.38         45
2023-01-19 04:08:10.001  2792        40.38         45
2023-01-19 04:08:10.210  2787        40.38         45
2023-01-19 04:08:10.418  2788        40.38         45
2023-01-19 04:08:10.625  2790        40.35         45
2023-01-19 04:08:10.834  2787        40.35         45
2023-01-19 04:08:11.042  2811        40.38         45
2023-01-19 04:08:11.249  2786        40.38         45
2023-01-19 04:08:11.458  2779        40.38         45
2023-01-19 04:08:11.666  2796        40.38         45
2023-01-19 04:08:11.875  2791        40.38         45
2023-01-19 04:08:12.082  2776        40.38         45
2023-01-19 04:08:12.290  2779        40.38         45
2023-01-19 04:08:12.499  2786        40.38         45
2023-01-19 04:08:12.709  2780        40.38         45
2023-01-19 04:08:12.919  2789        40.38         45
2023-01-19 04:08:13.137  2779        40.38         45
2023-01-19 04:08:13.347  2791        40.38         45
2023-01-19 04:08:13.521  2785        40.38         45
2023-01-19 04:08:13.719  2782        40.38         45
2023-01-19 04:08:13.923  2788        40.38         45
2023-01-19 04:08:14.132  2788        40.38         45
2023-01-19 04:08:14.339  2794        40.38         45
2023-01-19 04:08:14.549  2791        40.35         45
2023-01-19 04:08:14.757  2796        40.38         45
2023-01-19 04:08:14.963  2814        40.38         45
2023-01-19 04:08:15.172  2820        40.38         45
2023-01-19 04:08:15.380  2790        40.35         45
2023-01-19 04:08:15.588  2812        40.35         45
2023-01-19 04:08:15.797  2827        40.35         45
2023-01-19 04:08:16.005  2827        40.38         45
2023-01-19 04:08:16.213  2837        40.38         45
2023-01-19 04:08:16.420  2845        40.35         45
2023-01-19 04:08:16.630  2843        40.35         45
2023-01-19 04:08:16.837  2849        40.35         45
2023-01-19 04:08:17.051  2856        40.35         45
2023-01-19 04:08:17.266  2855        40.38         45
2023-01-19 04:08:17.477  2845        40.35         45
2023-01-19 04:08:17.637  2846        40.35         45
2023-01-19 04:08:17.845  2840        40.35         45
2023-01-19 04:08:18.054  2851        40.35         45
2023-01-19 04:08:18.262  2865        40.35         45
2023-01-19 04:08:18.469  2845        40.35         45
2023-01-19 04:08:18.677  2857        40.35         45
2023-01-19 04:08:18.885  2875        40.35         45
2023-01-19 04:08:19.095  2868        40.35         45
2023-01-19 04:08:19.300  2884        40.35         45
2023-01-19 04:08:19.504  2895        40.35         45
2023-01-19 04:08:19.718  2906        40.35         45
2023-01-19 04:08:19.927  2881        40.35         45
2023-01-19 04:08:20.134  2884        40.35         45
2023-01-19 04:08:20.343  2911        40.35         45
2023-01-19 04:08:20.550  2897        40.35         45
2023-01-19 04:08:20.759  2896        40.35         45
2023-01-19 04:08:20.968  2902        40.35         45
2023-01-19 04:08:21.175  2877        40.35         45
2023-01-19 04:08:21.391  2881        40.35         45
2023-01-19 04:08:21.608  2887        40.35         45
2023-01-19 04:08:21.768  2881        40.35         45
2023-01-19 04:08:21.976  2876        40.35         45
2023-01-19 04:08:22.183  2874        40.35         45
2023-01-19 04:08:22.392  2845        40.35         45
2023-01-19 04:08:22.600  2841        40.35         45
2023-01-19 04:08:22.809  2822        40.35         45
2023-01-19 04:08:23.033  2815        40.35         45
2023-01-19 04:08:23.224  2833        40.35         45
2023-01-19 04:08:23.433  2819        40.35         45
2023-01-19 04:08:23.641  2825        40.35         45
2023-01-19 04:08:23.847  2809        40.35         45
2023-01-19 04:08:24.056  2826        40.35         45
2023-01-19 04:08:24.265  2817        40.35         45
2023-01-19 04:08:24.474  2807        40.35         45
2023-01-19 04:08:24.681  2810        40.35         45
2023-01-19 04:08:24.889  2807        40.35         45
2023-01-19 04:08:25.096  2785        40.35         45
2023-01-19 04:08:25.304  2791        40.35         45
2023-01-19 04:08:25.518  2797        40.35         45
2023-01-19 04:08:25.689  2792        40.35         45
2023-01-19 04:08:25.898  2788        40.35         45
2023-01-19 04:08:26.107  2782        40.35         45
2023-01-19 04:08:26.314  2771        40.35         45
2023-01-19 04:08:26.523  2795        40.35         45
2023-01-19 04:08:26.731  2779        40.35         45
2023-01-19 04:08:26.939  2790        40.35         45
2023-01-19 04:08:27.142  2777        40.35         45
2023-01-19 04:08:27.340  2814        40.35         45
2023-01-19 04:08:27.546  2811        40.32         45
2023-01-19 04:08:27.754  2803        40.32         45
2023-01-19 04:08:27.975  2816        40.32         45
2023-01-19 04:08:28.187  2821        40.32         45
2023-01-19 04:08:28.395  2815        40.32         45
2023-01-19 04:08:28.604  2818        40.32         45
2023-01-19 04:08:28.812  2815        40.32         45
2023-01-19 04:08:29.020  2821        40.32         45
2023-01-19 04:08:29.228  2827        40.32         45
2023-01-19 04:08:29.437  2823        40.32         45
2023-01-19 04:08:29.644  2809        40.32         45
2023-01-19 04:08:29.820  2825        40.32         45
2023-01-19 04:08:30.028  2817        40.32         45
2023-01-19 04:08:30.237  2812        40.32         45
2023-01-19 04:08:30.445  2787        40.32         45
2023-01-19 04:08:30.654  2791        40.32         45
2023-01-19 04:08:30.861  2771        40.32         45
2023-01-19 04:08:31.061  2784        40.32         45
2023-01-19 04:08:31.262  2790        40.32         45
2023-01-19 04:08:31.469  2776        40.32         45
2023-01-19 04:08:31.675  2796        40.29         45
2023-01-19 04:08:31.885  2801        40.29         45
2023-01-19 04:08:32.102  2780        40.29         45
2023-01-19 04:08:32.316  2796        40.29         45
2023-01-19 04:08:32.525  2800        40.29         45
2023-01-19 04:08:32.733  2811        40.29         45
2023-01-19 04:08:32.940  2792        40.29         45
2023-01-19 04:08:33.150  2787        40.29         45
2023-01-19 04:08:33.358  2811        40.29         45
2023-01-19 04:08:33.564  2808        40.29         45
