rad;T;elevaz;;media;dev std
2820;40.32;50;;2700,784404;38,82704751
2795;40.32;50;;;
2760;40.32;50;;;
2717;40.32;50;;;
2710;40.32;50;;;
2696;40.32;50;;;
2701;40.32;50;;;
2712;40.32;50;;;
2717;40.32;50;;;
2759;40.32;50;;;
2788;40.32;50;;;
2812;40.32;50;;;
2816;40.32;50;;;
2810;40.32;50;;;
2833;40.32;50;;;
2798;40.32;50;;;
2801;40.32;50;;;
2790;40.32;50;;;
2777;40.32;50;;;
2747;40.32;50;;;
2752;40.32;50;;;
2740;40.32;50;;;
2722;40.32;50;;;
2715;40.32;50;;;
2724;40.29;50;;;
2714;40.29;50;;;
2729;40.29;50;;;
2740;40.29;50;;;
2737;40.29;50;;;
2750;40.29;50;;;
2763;40.29;50;;;
2771;40.29;50;;;
2793;40.29;50;;;
2810;40.29;50;;;
2779;40.29;50;;;
2785;40.29;50;;;
2782;40.29;50;;;
2777;40.29;50;;;
2752;40.29;50;;;
2768;40.29;50;;;
2769;40.29;50;;;
2763;40.29;50;;;
2759;40.29;50;;;
2788;40.29;50;;;
2772;40.29;50;;;
2792;40.29;50;;;
2773;40.29;50;;;
2797;40.29;50;;;
2787;40.29;50;;;
2788;40.29;50;;;
2787;40.29;50;;;
2797;40.29;50;;;
2765;40.29;50;;;
2762;40.26;50;;;
2752;40.26;50;;;
2739;40.26;50;;;
2734;40.26;50;;;
2710;40.26;50;;;
2686;40.26;50;;;
2695;40.26;50;;;
2685;40.26;50;;;
2687;40.26;50;;;
2669;40.26;50;;;
2673;40.26;50;;;
2662;40.26;50;;;
2668;40.26;50;;;
2661;40.26;50;;;
2666;40.26;50;;;
2678;40.26;50;;;
2672;40.22;50;;;
2692;40.22;50;;;
2685;40.22;50;;;
2701;40.22;50;;;
2715;40.22;50;;;
2723;40.22;50;;;
2719;40.22;50;;;
2734;40.22;50;;;
2732;40.22;50;;;
2721;40.22;50;;;
2723;40.22;50;;;
2725;40.22;50;;;
2709;40.22;50;;;
2690;40.22;50;;;
2696;40.22;50;;;
2688;40.22;50;;;
2694;40.22;50;;;
2708;40.22;50;;;
2699;40.22;50;;;
2704;40.22;50;;;
2710;40.22;50;;;
2715;40.22;50;;;
2704;40.22;50;;;
2705;40.22;50;;;
2704;40.22;50;;;
2685;40.22;50;;;
2708;40.22;50;;;
2699;40.26;50;;;
2699;40.26;50;;;
2682;40.26;50;;;
2691;40.26;50;;;
2697;40.26;50;;;
2674;40.26;50;;;
2696;40.22;50;;;
2692;40.22;50;;;
2694;40.22;50;;;
2680;40.22;50;;;
2697;40.22;50;;;
2710;40.22;50;;;
2702;40.22;50;;;
2699;40.22;50;;;
2717;40.22;50;;;
2715;40.26;50;;;
2740;40.26;50;;;
2717;40.26;50;;;
2729;40.26;50;;;
2737;40.26;50;;;
2739;40.26;50;;;
2743;40.26;50;;;
2730;40.26;50;;;
2720;40.26;50;;;
2715;40.26;50;;;
2730;40.26;50;;;
2744;40.26;50;;;
2755;40.26;50;;;
2771;40.26;50;;;
2784;40.26;50;;;
2805;40.26;50;;;
2819;40.26;50;;;
2837;40.26;50;;;
2842;40.26;50;;;
2824;40.26;50;;;
2801;40.26;50;;;
2782;40.26;50;;;
2768;40.26;50;;;
2738;40.26;50;;;
2745;40.26;50;;;
2730;40.26;50;;;
2720;40.26;50;;;
2710;40.26;50;;;
2695;40.26;50;;;
2698;40.26;50;;;
2694;40.29;50;;;
2697;40.29;50;;;
2717;40.29;50;;;
2720;40.29;50;;;
2708;40.29;50;;;
2735;40.29;50;;;
2717;40.29;50;;;
2731;40.29;50;;;
2726;40.29;50;;;
2749;40.29;50;;;
2723;40.29;50;;;
2734;40.29;50;;;
2724;40.29;50;;;
2705;40.29;50;;;
2696;40.29;50;;;
2704;40.29;50;;;
2711;40.29;50;;;
2704;40.29;50;;;
2699;40.29;50;;;
2698;40.29;50;;;
2677;40.29;50;;;
2687;40.29;50;;;
2683;40.32;50;;;
2678;40.29;50;;;
2678;40.29;50;;;
2671;40.32;50;;;
2674;40.32;50;;;
2676;40.32;50;;;
2690;40.32;50;;;
2696;40.32;50;;;
2697;40.32;50;;;
2703;40.32;50;;;
2693;40.32;50;;;
2703;40.32;50;;;
2688;40.32;50;;;
2693;40.32;50;;;
2704;40.32;50;;;
2688;40.32;50;;;
2695;40.32;50;;;
2704;40.32;50;;;
2710;40.32;50;;;
2709;40.32;50;;;
2680;40.32;50;;;
2690;40.32;50;;;
2681;40.32;50;;;
2699;40.32;50;;;
2699;40.35;50;;;
2700;40.35;50;;;
2716;40.35;50;;;
2716;40.35;50;;;
2694;40.35;50;;;
2698;40.35;50;;;
2685;40.35;50;;;
2679;40.35;50;;;
2696;40.35;50;;;
2711;40.35;50;;;
2700;40.35;50;;;
2703;40.35;50;;;
2708;40.35;50;;;
2707;40.35;50;;;
2730;40.32;50;;;
2721;40.35;50;;;
2709;40.35;50;;;
2719;40.35;50;;;
2726;40.35;50;;;
2722;40.35;50;;;
2712;40.35;50;;;
2706;40.35;50;;;
2704;40.35;50;;;
2712;40.35;50;;;
2730;40.35;50;;;
2715;40.35;50;;;
2712;40.35;50;;;
2702;40.35;50;;;
2726;40.35;50;;;
2708;40.35;50;;;
2705;40.35;50;;;
2700;40.35;50;;;
2708;40.35;50;;;
2697;40.35;50;;;
2696;40.35;50;;;
2681;40.35;50;;;
2674;40.35;50;;;
2666;40.35;50;;;
2679;40.35;50;;;
2680;40.35;50;;;
2677;40.35;50;;;
2688;40.35;50;;;
2667;40.35;50;;;
2664;40.35;50;;;
2666;40.35;50;;;
2671;40.35;50;;;
2673;40.35;50;;;
2657;40.35;50;;;
2660;40.35;50;;;
2642;40.35;50;;;
2648;40.35;50;;;
2667;40.35;50;;;
2649;40.35;50;;;
2656;40.35;50;;;
2644;40.35;50;;;
2663;40.35;50;;;
2665;40.35;50;;;
2661;40.35;50;;;
2646;40.35;50;;;
2666;40.35;50;;;
2691;40.35;50;;;
2683;40.35;50;;;
2659;40.35;50;;;
2681;40.35;50;;;
2668;40.35;50;;;
2685;40.35;50;;;
2677;40.35;50;;;
2687;40.35;50;;;
2687;40.35;50;;;
2680;40.35;50;;;
2684;40.35;50;;;
2681;40.35;50;;;
2686;40.35;50;;;
2690;40.35;50;;;
2667;40.35;50;;;
2677;40.35;50;;;
2661;40.35;50;;;
2660;40.35;50;;;
2673;40.35;50;;;
2671;40.35;50;;;
2675;40.35;50;;;
2669;40.35;50;;;
2679;40.35;50;;;
2676;40.35;50;;;
2673;40.35;50;;;
2667;40.35;50;;;
2667;40.35;50;;;
2672;40.35;50;;;
2661;40.35;50;;;
2657;40.35;50;;;
2651;40.35;50;;;
2665;40.35;50;;;
2663;40.35;50;;;
2665;40.35;50;;;
2681;40.35;50;;;
2656;40.35;50;;;
2671;40.35;50;;;
2648;40.35;50;;;
2662;40.35;50;;;
2670;40.32;50;;;
2666;40.32;50;;;
2665;40.32;50;;;
2689;40.32;50;;;
2688;40.32;50;;;
2716;40.32;50;;;
2729;40.32;50;;;
2703;40.32;50;;;
2715;40.32;50;;;
2707;40.32;50;;;
2698;40.32;50;;;
2699;40.32;50;;;
2701;40.32;50;;;
2706;40.32;50;;;
2691;40.32;50;;;
2663;40.32;50;;;
2666;40.32;50;;;
2659;40.32;50;;;
2666;40.32;50;;;
2668;40.32;50;;;
2671;40.32;50;;;
2669;40.32;50;;;
2677;40.32;50;;;
