               data_ora   rad  temperatura elevazione
2023-01-19 04:01:42.174  2782        40.32         50
2023-01-19 04:01:42.382  2762        40.32         50
2023-01-19 04:01:42.589  2792        40.32         50
2023-01-19 04:01:42.804  2781        40.32         50
2023-01-19 04:01:43.021  2795        40.32         50
2023-01-19 04:01:43.231  2777        40.32         50
2023-01-19 04:01:43.401  2783        40.32         50
2023-01-19 04:01:43.600  2805        40.32         50
2023-01-19 04:01:43.808  2787        40.32         50
2023-01-19 04:01:44.015  2808        40.32         50
2023-01-19 04:01:44.225  2806        40.32         50
2023-01-19 04:01:44.431  2789        40.32         50
2023-01-19 04:01:44.640  2792        40.32         50
2023-01-19 04:01:44.847  2802        40.32         50
2023-01-19 04:01:45.055  2795        40.32         50
2023-01-19 04:01:45.263  2780        40.32         50
2023-01-19 04:01:45.473  2777        40.32         50
2023-01-19 04:01:45.680  2767        40.32         50
2023-01-19 04:01:45.890  2766        40.32         50
2023-01-19 04:01:46.097  2769        40.32         50
2023-01-19 04:01:46.306  2776        40.32         50
2023-01-19 04:01:46.513  2754        40.32         50
2023-01-19 04:01:46.721  2770        40.32         50
2023-01-19 04:01:46.930  2771        40.32         50
2023-01-19 04:01:47.142  2761        40.32         50
2023-01-19 04:01:47.359  2768        40.32         50
2023-01-19 04:01:47.521  2790        40.32         50
2023-01-19 04:01:47.730  2779        40.32         50
2023-01-19 04:01:47.937  2767        40.32         50
2023-01-19 04:01:48.145  2771        40.32         50
2023-01-19 04:01:48.355  2784        40.32         50
2023-01-19 04:01:48.561  2779        40.29         50
2023-01-19 04:01:48.769  2793        40.29         50
2023-01-19 04:01:48.977  2802        40.29         50
2023-01-19 04:01:49.184  2816        40.29         50
2023-01-19 04:01:49.384  2803        40.29         50
2023-01-19 04:01:49.598  2805        40.29         50
2023-01-19 04:01:49.810  2811        40.29         50
2023-01-19 04:01:50.017  2818        40.29         50
2023-01-19 04:01:50.227  2806        40.29         50
2023-01-19 04:01:50.435  2824        40.29         50
2023-01-19 04:01:50.641  2815        40.29         50
2023-01-19 04:01:50.846  2807        40.29         50
2023-01-19 04:01:51.053  2812        40.29         50
2023-01-19 04:01:51.282  2825        40.29         50
2023-01-19 04:01:51.505  2826        40.29         50
2023-01-19 04:01:51.666  2819        40.29         50
2023-01-19 04:01:51.873  2809        40.29         50
2023-01-19 04:01:52.066  2806        40.29         50
2023-01-19 04:01:52.274  2804        40.29         50
2023-01-19 04:01:52.482  2815        40.29         50
2023-01-19 04:01:52.692  2799        40.29         50
2023-01-19 04:01:52.899  2817        40.29         50
2023-01-19 04:01:53.107  2807        40.29         50
2023-01-19 04:01:53.308  2811        40.26         50
2023-01-19 04:01:53.507  2828        40.26         50
2023-01-19 04:01:53.726  2808        40.26         50
2023-01-19 04:01:53.940  2822        40.26         50
2023-01-19 04:01:54.148  2820        40.26         50
2023-01-19 04:01:54.355  2811        40.26         50
2023-01-19 04:01:54.563  2832        40.26         50
2023-01-19 04:01:54.771  2811        40.26         50
2023-01-19 04:01:54.979  2820        40.26         50
2023-01-19 04:01:55.187  2836        40.26         50
2023-01-19 04:01:55.397  2822        40.26         50
2023-01-19 04:01:55.618  2790        40.26         50
2023-01-19 04:01:55.782  2797        40.26         50
2023-01-19 04:01:55.990  2806        40.26         50
2023-01-19 04:01:56.196  2792        40.29         50
2023-01-19 04:01:56.405  2795        40.29         50
2023-01-19 04:01:56.614  2778        40.29         50
2023-01-19 04:01:56.821  2789        40.26         50
2023-01-19 04:01:57.029  2792        40.26         50
2023-01-19 04:01:57.230  2801        40.26         50
2023-01-19 04:01:57.429  2800        40.26         50
2023-01-19 04:01:57.638  2802        40.26         50
2023-01-19 04:01:57.851  2812        40.26         50
2023-01-19 04:01:58.070  2802        40.26         50
2023-01-19 04:01:58.277  2809        40.26         50
2023-01-19 04:01:58.486  2791        40.26         50
2023-01-19 04:01:58.694  2786        40.26         50
2023-01-19 04:01:58.901  2797        40.26         50
2023-01-19 04:01:59.110  2793        40.26         50
2023-01-19 04:01:59.319  2807        40.26         50
2023-01-19 04:01:59.527  2798        40.26         50
2023-01-19 04:01:59.703  2811        40.26         50
2023-01-19 04:01:59.910  2807        40.26         50
2023-01-19 04:02:00.118  2801        40.26         50
2023-01-19 04:02:00.328  2816        40.26         50
2023-01-19 04:02:00.535  2814        40.26         50
2023-01-19 04:02:00.743  2811        40.26         50
2023-01-19 04:02:00.949  2795        40.22         50
2023-01-19 04:02:01.150  2788        40.22         50
2023-01-19 04:02:01.350  2791        40.22         50
2023-01-19 04:02:01.560  2784        40.22         50
2023-01-19 04:02:01.767  2765        40.22         50
2023-01-19 04:02:01.976  2781        40.22         50
2023-01-19 04:02:02.192  2783        40.22         50
2023-01-19 04:02:02.409  2769        40.22         50
2023-01-19 04:02:02.616  2763        40.26         50
2023-01-19 04:02:02.825  2767        40.26         50
2023-01-19 04:02:03.031  2764        40.26         50
2023-01-19 04:02:03.240  2775        40.26         50
2023-01-19 04:02:03.450  2779        40.26         50
2023-01-19 04:02:03.657  2763        40.26         50
2023-01-19 04:02:03.833  2800        40.22         50
2023-01-19 04:02:04.057  2773        40.26         50
2023-01-19 04:02:04.266  2767        40.26         50
2023-01-19 04:02:04.474  2765        40.22         50
2023-01-19 04:02:04.682  2755        40.22         50
2023-01-19 04:02:04.874  2766        40.22         50
2023-01-19 04:02:05.070  2759        40.22         50
2023-01-19 04:02:05.273  2774        40.26         50
2023-01-19 04:02:05.482  2751        40.22         50
2023-01-19 04:02:05.690  2758        40.26         50
2023-01-19 04:02:05.898  2740        40.26         50
2023-01-19 04:02:06.105  2741        40.26         50
2023-01-19 04:02:06.315  2745        40.26         50
2023-01-19 04:02:06.533  2755        40.26         50
2023-01-19 04:02:06.747  2748        40.26         50
2023-01-19 04:02:06.954  2747        40.26         50
2023-01-19 04:02:07.162  2760        40.26         50
2023-01-19 04:02:07.372  2759        40.26         50
2023-01-19 04:02:07.579  2756        40.26         50
2023-01-19 04:02:07.787  2771        40.26         50
2023-01-19 04:02:07.964  2774        40.26         50
2023-01-19 04:02:08.171  2788        40.26         50
2023-01-19 04:02:08.380  2788        40.26         50
2023-01-19 04:02:08.587  2806        40.26         50
2023-01-19 04:02:08.793  2788        40.26         50
2023-01-19 04:02:08.992  2805        40.26         50
