rad;T;elevaz;;media ;dev std
2903;40.26;55;;2884,120275;41,53979357
2901;40.26;55;;;
2903;40.26;55;;;
2910;40.26;55;;;
2906;40.26;55;;;
2907;40.26;55;;;
2901;40.26;55;;;
2921;40.26;55;;;
2919;40.26;55;;;
2913;40.26;55;;;
2931;40.26;55;;;
2949;40.26;55;;;
2955;40.26;55;;;
2957;40.26;55;;;
2957;40.26;55;;;
2958;40.26;55;;;
2995;40.29;55;;;
2987;40.29;55;;;
2973;40.29;55;;;
2959;40.29;55;;;
2955;40.29;55;;;
2935;40.29;55;;;
2916;40.29;55;;;
2910;40.29;55;;;
2896;40.29;55;;;
2889;40.29;55;;;
2926;40.29;55;;;
2939;40.29;55;;;
2937;40.29;55;;;
2963;40.29;55;;;
2962;40.29;55;;;
2954;40.29;55;;;
2947;40.29;55;;;
2941;40.29;55;;;
2958;40.29;55;;;
2962;40.29;55;;;
2960;40.29;55;;;
2992;40.32;55;;;
2996;40.32;55;;;
2983;40.32;55;;;
2990;40.32;55;;;
2976;40.32;55;;;
2986;40.32;55;;;
2967;40.32;55;;;
2939;40.32;55;;;
2928;40.32;55;;;
2915;40.32;55;;;
2905;40.32;55;;;
2912;40.32;55;;;
2908;40.32;55;;;
2919;40.32;55;;;
2951;40.32;55;;;
2947;40.32;55;;;
2921;40.32;55;;;
2912;40.32;55;;;
2900;40.32;55;;;
2895;40.32;55;;;
2894;40.35;55;;;
2890;40.35;55;;;
2871;40.35;55;;;
2871;40.35;55;;;
2873;40.35;55;;;
2877;40.35;55;;;
2869;40.35;55;;;
2889;40.35;55;;;
2885;40.35;55;;;
2875;40.35;55;;;
2901;40.35;55;;;
2894;40.35;55;;;
2890;40.35;55;;;
2888;40.35;55;;;
2905;40.35;55;;;
2884;40.35;55;;;
2868;40.35;55;;;
2877;40.35;55;;;
2885;40.35;55;;;
2870;40.35;55;;;
2846;40.35;55;;;
2871;40.35;55;;;
2863;40.35;55;;;
2861;40.35;55;;;
2848;40.38;55;;;
2852;40.38;55;;;
2846;40.38;55;;;
2850;40.38;55;;;
2860;40.38;55;;;
2845;40.38;55;;;
2837;40.38;55;;;
2862;40.38;55;;;
2858;40.38;55;;;
2844;40.38;55;;;
2850;40.38;55;;;
2838;40.38;55;;;
2867;40.38;55;;;
2849;40.38;55;;;
2843;40.38;55;;;
2862;40.38;55;;;
2878;40.38;55;;;
2880;40.38;55;;;
2890;40.38;55;;;
2888;40.38;55;;;
2895;40.38;55;;;
