               data_ora        rad  temperatura
2023-03-01 01:20:05.062  51.429974        40.29
2023-03-01 01:20:05.281  51.211334        40.29
2023-03-01 01:20:05.500  51.345882        40.29
2023-03-01 01:20:05.672  51.110424        40.29
2023-03-01 01:20:05.859  51.429974        40.29
2023-03-01 01:20:06.062  51.312245        40.29
2023-03-01 01:20:06.281  51.598158        40.29
2023-03-01 01:20:06.484  51.631795        40.29
2023-03-01 01:20:06.698  51.614976        40.29
2023-03-01 01:20:06.901  51.682250        40.29
2023-03-01 01:20:07.104  51.429974        40.29
2023-03-01 01:20:07.323  52.001800        40.29
2023-03-01 01:20:07.526  51.715887        40.29
2023-03-01 01:20:07.729  51.631795        40.29
2023-03-01 01:20:07.948  52.018618        40.29
2023-03-01 01:20:08.151  52.354986        40.29
2023-03-01 01:20:08.369  52.203620        40.29
2023-03-01 01:20:08.573  52.136347        40.26
2023-03-01 01:20:08.776  52.119528        40.26
2023-03-01 01:20:08.994  52.136347        40.26
2023-03-01 01:20:09.198  52.254076        40.26
2023-03-01 01:20:09.401  52.169984        40.26
2023-03-01 01:20:09.619  52.169984        40.26
2023-03-01 01:20:09.791  51.850434        40.26
2023-03-01 01:20:09.994  52.338168        40.26
2023-03-01 01:20:10.213  52.371804        40.26
2023-03-01 01:20:10.416  52.539989        40.26
2023-03-01 01:20:10.619  52.640899        40.26
2023-03-01 01:20:10.823  52.741809        40.26
2023-03-01 01:20:11.041  52.708173        40.26
2023-03-01 01:20:11.244  53.179088        40.26
2023-03-01 01:20:11.432  53.700459        40.26
2023-03-01 01:20:11.651  53.683640        40.26
2023-03-01 01:20:11.869  53.650003        40.26
2023-03-01 01:20:12.072  53.734095        40.26
2023-03-01 01:20:12.276  53.683640        40.26
2023-03-01 01:20:12.494  53.481819        40.26
2023-03-01 01:20:12.697  54.003190        40.26
2023-03-01 01:20:12.916  54.255466        40.26
2023-03-01 01:20:13.119  54.440469        40.26
2023-03-01 01:20:13.322  54.760018        40.26
2023-03-01 01:20:13.541  54.911384        40.26
2023-03-01 01:20:13.713  54.675926        40.26
2023-03-01 01:20:13.916  54.390013        40.26
2023-03-01 01:20:14.119  54.373195        40.26
2023-03-01 01:20:14.338  54.541379        40.26
2023-03-01 01:20:14.541  54.625471        40.26
2023-03-01 01:20:14.744  54.844110        40.26
2023-03-01 01:20:14.947  54.423650        40.26
2023-03-01 01:20:15.151  54.575016        40.26
2023-03-01 01:20:15.354  54.474105        40.26
2023-03-01 01:20:15.572  54.743200        40.26
2023-03-01 01:20:15.775  54.675926        40.26
2023-03-01 01:20:15.994  53.380909        40.26
2023-03-01 01:20:16.213  54.087282        40.26
2023-03-01 01:20:16.416  54.053645        40.26
2023-03-01 01:20:16.619  54.205011        40.26
2023-03-01 01:20:16.838  54.289103        40.26
2023-03-01 01:20:17.041  54.659108        40.26
2023-03-01 01:20:17.244  53.902280        40.26
2023-03-01 01:20:17.463  54.221829        40.26
2023-03-01 01:20:17.635  54.322740        40.26
2023-03-01 01:20:17.838  54.272284        40.26
2023-03-01 01:20:18.041  54.457287        40.26
2023-03-01 01:20:18.260  54.490924        40.26
2023-03-01 01:20:18.463  54.490924        40.26
2023-03-01 01:20:18.666  54.541379        40.26
2023-03-01 01:20:18.869  54.743200        40.26
2023-03-01 01:20:19.072  54.507742        40.26
2023-03-01 01:20:19.275  54.154556        40.26
