               data_ora         rad  temperatura elevazione
2023-01-22 02:12:39.002   36.999780        40.32         20
2023-01-22 02:12:39.211   36.966144        40.32         20
2023-01-22 02:12:39.417   37.117509        40.32         20
2023-01-22 02:12:39.627   37.336149        40.32         20
2023-01-22 02:12:39.834   37.302512        40.32         20
2023-01-22 02:12:40.043   37.336149        40.29         20
2023-01-22 02:12:40.256   37.151146        40.29         20
2023-01-22 02:12:40.475   36.629775        40.32         20
2023-01-22 02:12:40.633   36.663412        40.32         20
2023-01-22 02:12:40.844   36.848415        40.32         20
2023-01-22 02:12:41.051   36.427955        40.32         20
2023-01-22 02:12:41.260   36.495228        40.32         20
2023-01-22 02:12:41.468   37.100691        40.29         20
2023-01-22 02:12:41.676   36.982962        40.29         20
2023-01-22 02:12:41.884   37.201601        40.32         20
2023-01-22 02:12:42.092   36.814778        40.32         20
2023-01-22 02:12:42.292   36.427955        40.29         20
2023-01-22 02:12:42.496   36.545683        40.29         20
2023-01-22 02:12:42.713   36.394318        40.29         20
2023-01-22 02:12:42.925   36.562502        40.29         20
2023-01-22 02:12:43.132   36.175678        40.29         20
2023-01-22 02:12:43.341   36.427955        40.29         20
2023-01-22 02:12:43.549   36.007494        40.29         20
2023-01-22 02:12:43.757   36.192497        40.29         20
2023-01-22 02:12:43.966   36.226134        40.29         20
2023-01-22 02:12:44.174   36.057950        40.29         20
2023-01-22 02:12:44.385   36.226134        40.29         20
2023-01-22 02:12:44.558   35.704763        40.29         20
2023-01-22 02:12:44.766   36.125223        40.29         20
2023-01-22 02:12:44.989   36.360681        40.29         20
2023-01-22 02:12:45.182   36.562502        40.29         20
2023-01-22 02:12:45.391   36.242952        40.29         20
2023-01-22 02:12:45.598   36.293407        40.29         20
2023-01-22 02:12:45.807   36.293407        40.26         20
2023-01-22 02:12:46.012   36.276589        40.26         20
2023-01-22 02:12:46.211   36.562502        40.26         20
2023-01-22 02:12:46.415   36.495228        40.29         20
2023-01-22 02:12:46.624   36.764323        40.29         20
2023-01-22 02:12:46.841   36.596139        40.29         20
2023-01-22 02:12:47.055   36.646594        40.29         20
2023-01-22 02:12:47.264   35.200211        40.29         20
2023-01-22 02:12:47.472   35.704763        40.29         20
2023-01-22 02:12:47.679   35.788855        40.29         20
2023-01-22 02:12:47.887   36.057950        40.29         20
2023-01-22 02:12:48.096   35.839310        40.26         20
2023-01-22 02:12:48.304   36.007494        40.26         20
2023-01-22 02:12:48.516   35.940221        40.26         20
2023-01-22 02:12:48.689   35.721581        40.26         20
2023-01-22 02:12:48.896   35.687945        40.26         20
2023-01-22 02:12:49.104   36.041131        40.26         20
2023-01-22 02:12:49.313   36.209315        40.26         20
2023-01-22 02:12:49.520   36.411136        40.26         20
2023-01-22 02:12:49.728   36.377499        40.26         20
2023-01-22 02:12:49.933   36.276589        40.26         20
2023-01-22 02:12:50.133   36.209315        40.26         20
2023-01-22 02:12:50.337   36.310226        40.26         20
2023-01-22 02:12:50.544   35.990676        40.26         20
2023-01-22 02:12:50.753   36.158860        40.26         20
2023-01-22 02:12:50.968   36.562502        40.26         20
2023-01-22 02:12:51.185   36.327044        40.26         20
2023-01-22 02:12:51.393   36.142042        40.26         20
2023-01-22 02:12:51.602   36.444773        40.29         20
2023-01-22 02:12:51.810   36.663412        40.26         20
2023-01-22 02:12:52.018   36.562502        40.26         20
2023-01-22 02:12:52.226   36.629775        40.26         20
2023-01-22 02:12:52.434   36.663412        40.26         20
2023-01-22 02:12:52.643   36.999780        40.26         20
2023-01-22 02:12:52.818   37.067054        40.26         20
2023-01-22 02:12:53.027   37.268875        40.26         20
2023-01-22 02:12:53.234   36.747504        40.26         20
2023-01-22 02:12:53.442   36.697049        40.26         20
2023-01-22 02:12:53.650   37.033417        40.26         20
2023-01-22 02:12:53.854   37.033417        40.26         20
2023-01-22 02:12:54.051   36.697049        40.26         20
2023-01-22 02:12:54.259   36.495228        40.26         20
2023-01-22 02:12:54.467   36.747504        40.26         20
2023-01-22 02:12:54.676   36.814778        40.26         20
2023-01-22 02:12:54.884   36.276589        40.26         20
2023-01-22 02:12:55.092   36.512047        40.26         20
2023-01-22 02:12:55.312   36.394318        40.26         20
2023-01-22 02:12:55.523   35.973858        40.26         20
2023-01-22 02:12:55.732   35.973858        40.26         20
2023-01-22 02:12:55.941   36.007494        40.26         20
2023-01-22 02:12:56.148   35.856129        40.26         20
2023-01-22 02:12:56.357   35.671126        40.26         20
2023-01-22 02:12:56.565   35.687945        40.29         20
2023-01-22 02:12:56.741   35.671126        40.29         20
2023-01-22 02:12:56.949   35.603853        40.29         20
2023-01-22 02:12:57.157   35.671126        40.26         20
2023-01-22 02:12:57.364   35.553397        40.29         20
2023-01-22 02:12:57.574   35.418850        40.29         20
2023-01-22 02:12:57.775   35.587034        40.26         20
2023-01-22 02:12:57.975   35.654308        40.26         20
2023-01-22 02:12:58.181   35.923402        40.26         20
2023-01-22 02:12:58.390   35.872947        40.26         20
2023-01-22 02:12:58.598   35.755218        40.26         20
2023-01-22 02:12:58.807   35.990676        40.26         20
2023-01-22 02:12:59.015   36.074768        40.26         20
2023-01-22 02:12:59.221   35.755218        40.26         20
2023-01-22 02:12:59.436   36.024313        40.26         20
2023-01-22 02:12:59.652   36.360681        40.26         20
2023-01-22 02:12:59.862   36.411136        40.26         20
2023-01-22 02:13:00.067   36.579320        40.26         20
2023-01-22 02:13:00.278   36.747504        40.26         20
2023-01-22 02:13:00.487   36.697049        40.26         20
2023-01-22 02:13:00.694   36.512047        40.26         20
2023-01-22 02:13:00.871   36.747504        40.26         20
2023-01-22 02:13:01.079   36.831596        40.26         20
2023-01-22 02:13:01.287   36.848415        40.26         20
2023-01-22 02:13:01.494   37.268875        40.26         20
2023-01-22 02:13:01.697   37.252056        40.26         20
2023-01-22 02:13:01.895   37.151146        40.26         20
2023-01-22 02:13:02.103   37.100691        40.29         20
2023-01-22 02:13:02.312   36.629775        40.29         20
2023-01-22 02:13:02.520   36.831596        40.29         20
2023-01-22 02:13:02.728   36.444773        40.29         20
2023-01-22 02:13:02.936   36.596139        40.29         20
2023-01-22 02:13:03.143   36.343863        40.29         20
2023-01-22 02:13:03.352   36.158860        40.29         20
2023-01-22 02:13:03.568   36.108405        40.29         20
2023-01-22 02:13:03.785   35.889766        40.29         20
2023-01-22 02:13:03.993   36.276589        40.29         20
2023-01-22 02:13:04.201   35.805673        40.29         20
2023-01-22 02:13:04.408   36.175678        40.29         20
2023-01-22 02:13:04.617   36.108405        40.29         20
2023-01-22 02:13:04.793   35.973858        40.29         20
2023-01-22 02:13:05.002   35.772037        40.29         20
2023-01-22 02:13:05.209   35.519761        40.29         20
2023-01-22 02:13:05.418   35.402032        40.29         20
2023-01-22 02:13:05.619   35.116119        40.29         20
2023-01-22 02:13:05.818   35.149756        40.29         20
2023-01-22 02:13:06.025   35.502942        40.29         20
2023-01-22 02:13:06.233   35.149756        40.29         20
2023-01-22 02:13:06.442   35.132937        40.29         20
2023-01-22 02:13:06.650   35.048845        40.29         20
2023-01-22 02:13:06.858   35.317940        40.29         20
2023-01-22 02:13:07.065   35.368395        40.29         20
2023-01-22 02:13:07.274   35.603853        40.29         20
2023-01-22 02:13:07.482   35.334758        40.29         20
2023-01-22 02:13:07.691   35.502942        40.29         20
2023-01-22 02:13:07.908   35.368395        40.29         20
2023-01-22 02:13:08.124   35.519761        40.29         20
2023-01-22 02:13:08.332   35.385213        40.29         20
2023-01-22 02:13:08.556   35.536579        40.29         20
2023-01-22 02:13:08.764   35.687945        40.29         20
2023-01-22 02:13:08.940   35.671126        40.29         20
2023-01-22 02:13:09.132   35.284303        40.29         20
2023-01-22 02:13:09.339   35.435669        40.29         20
2023-01-22 02:13:09.539   35.536579        40.29         20
2023-01-22 02:13:09.740   35.267484        40.29         20
2023-01-22 02:13:09.948   35.654308        40.29         20
2023-01-22 02:13:10.157   35.166574        40.29         20
2023-01-22 02:13:10.364   35.132937        40.29         20
2023-01-22 02:13:10.572   35.082482        40.29         20
2023-01-22 02:13:10.780   35.200211        40.29         20
2023-01-22 02:13:10.988   35.368395        40.29         20
2023-01-22 02:13:11.196   35.587034        40.29         20
2023-01-22 02:13:11.405   35.502942        40.29         20
2023-01-22 02:13:11.621   35.805673        40.29         20
2023-01-22 02:13:11.821   35.553397        40.29         20
2023-01-22 02:13:12.037   35.183392        40.29         20
2023-01-22 02:13:12.253   35.738400        40.29         20
2023-01-22 02:13:12.461   35.267484        40.29         20
2023-01-22 02:13:12.670   35.469305        40.29         20
2023-01-22 02:13:12.878   35.301121        40.29         20
2023-01-22 02:13:13.054   35.116119        40.29         20
2023-01-22 02:13:13.260   34.931116        40.29         20
2023-01-22 02:13:13.460   35.368395        40.29         20
2023-01-22 02:13:13.662   35.452487        40.32         20
2023-01-22 02:13:13.870   34.931116        40.32         20
2023-01-22 02:13:14.078   35.200211        40.32         20
2023-01-22 02:13:14.287   34.998390        40.32         20
2023-01-22 02:13:14.494   35.032027        40.32         20
