               data_ora        rad  temperatura elevazione
2023-01-19 02:02:21.004  32.324263        40.38         20
2023-01-19 02:02:21.213  31.937440        40.38         20
2023-01-19 02:02:21.422  31.819711        40.38         20
2023-01-19 02:02:21.620  31.264704        40.38         20
2023-01-19 02:02:21.820  31.062883        40.38         20
2023-01-19 02:02:22.029  30.659241        40.38         20
2023-01-19 02:02:22.247  30.154689        40.38         20
2023-01-19 02:02:22.415  29.986505        40.38         20
2023-01-19 02:02:22.622  29.431497        40.38         20
2023-01-19 02:02:22.829  28.237390        40.38         20
2023-01-19 02:02:23.037  28.018751        40.38         20
2023-01-19 02:02:23.244  27.901022        40.38         20
2023-01-19 02:02:23.452  27.564654        40.38         20
2023-01-19 02:02:23.662  27.396470        40.38         20
2023-01-19 02:02:23.869  27.346015        40.38         20
2023-01-19 02:02:24.068  27.631928        40.38         20
2023-01-19 02:02:24.269  27.497380        40.38         20
2023-01-19 02:02:24.485  28.102843        40.38         20
2023-01-19 02:02:24.703  27.766475        40.38         20
2023-01-19 02:02:24.910  27.951477        40.38         20
2023-01-19 02:02:25.118  28.304664        40.38         20
2023-01-19 02:02:25.326  28.809216        40.38         20
2023-01-19 02:02:25.535  28.775579        40.38         20
2023-01-19 02:02:25.742  28.792398        40.38         20
2023-01-19 02:02:25.951  29.364224        40.38         20
2023-01-19 02:02:26.159  29.414679        40.38         20
2023-01-19 02:02:26.375  29.481952        40.38         20
2023-01-19 02:02:26.543  29.650136        40.38         20
2023-01-19 02:02:26.752  30.154689        40.38         20
2023-01-19 02:02:26.960  30.289236        40.38         20
2023-01-19 02:02:27.168  31.012427        40.38         20
2023-01-19 02:02:27.377  31.163793        40.35         20
2023-01-19 02:02:27.583  31.331977        40.35         20
2023-01-19 02:02:27.790  31.365614        40.35         20
2023-01-19 02:02:27.989  31.567435        40.35         20
2023-01-19 02:02:28.193  31.449706        40.35         20
2023-01-19 02:02:28.399  31.516980        40.35         20
2023-01-19 02:02:28.608  31.348796        40.38         20
2023-01-19 02:02:28.828  31.281522        40.35         20
2023-01-19 02:02:29.041  30.877880        40.38         20
2023-01-19 02:02:29.250  30.339691        40.38         20
2023-01-19 02:02:29.458  30.322873        40.35         20
2023-01-19 02:02:29.664  29.919231        40.35         20
2023-01-19 02:02:29.874  29.549226        40.35         20
2023-01-19 02:02:30.082  29.128766        40.38         20
2023-01-19 02:02:30.290  28.859671        40.38         20
2023-01-19 02:02:30.467  28.741943        40.38         20
2023-01-19 02:02:30.675  28.472848        40.35         20
2023-01-19 02:02:30.883  28.254209        40.35         20
2023-01-19 02:02:31.090  27.985114        40.35         20
2023-01-19 02:02:31.298  27.884204        40.35         20
2023-01-19 02:02:31.506  27.615109        40.35         20
2023-01-19 02:02:31.711  28.001933        40.35         20
2023-01-19 02:02:31.908  27.884204        40.35         20
2023-01-19 02:02:32.115  28.388756        40.35         20
2023-01-19 02:02:32.322  28.001933        40.35         20
2023-01-19 02:02:32.531  27.884204        40.35         20
2023-01-19 02:02:32.739  28.304664        40.35         20
2023-01-19 02:02:32.958  27.934659        40.35         20
2023-01-19 02:02:33.170  28.287846        40.35         20
2023-01-19 02:02:33.381  28.254209        40.35         20
2023-01-19 02:02:33.589  28.001933        40.35         20
2023-01-19 02:02:33.812  27.968296        40.35         20
2023-01-19 02:02:34.018  28.271027        40.35         20
2023-01-19 02:02:34.227  28.052388        40.35         20
2023-01-19 02:02:34.435  28.035569        40.35         20
2023-01-19 02:02:34.595  28.153298        40.35         20
2023-01-19 02:02:34.804  27.648746        40.35         20
2023-01-19 02:02:35.013  28.287846        40.35         20
2023-01-19 02:02:35.221  28.170117        40.35         20
2023-01-19 02:02:35.427  27.901022        40.35         20
2023-01-19 02:02:35.630  28.001933        40.35         20
2023-01-19 02:02:35.828  27.901022        40.35         20
2023-01-19 02:02:36.036  27.901022        40.35         20
2023-01-19 02:02:36.243  27.901022        40.35         20
2023-01-19 02:02:36.453  27.732838        40.35         20
2023-01-19 02:02:36.660  27.934659        40.35         20
2023-01-19 02:02:36.869  27.867385        40.35         20
2023-01-19 02:02:37.086  27.985114        40.35         20
2023-01-19 02:02:37.301  27.850567        40.35         20
2023-01-19 02:02:37.508  28.237390        40.35         20
2023-01-19 02:02:37.716  28.523303        40.35         20
2023-01-19 02:02:37.924  28.203753        40.35         20
2023-01-19 02:02:38.134  28.472848        40.35         20
2023-01-19 02:02:38.341  28.422393        40.35         20
2023-01-19 02:02:38.517  28.338301        40.35         20
2023-01-19 02:02:38.727  28.472848        40.35         20
2023-01-19 02:02:38.934  28.321482        40.35         20
2023-01-19 02:02:39.141  28.102843        40.35         20
2023-01-19 02:02:39.350  27.884204        40.35         20
2023-01-19 02:02:39.551  28.001933        40.35         20
2023-01-19 02:02:39.751  28.018751        40.35         20
2023-01-19 02:02:39.959  28.371938        40.35         20
2023-01-19 02:02:40.166  28.338301        40.35         20
2023-01-19 02:02:40.374  28.388756        40.35         20
2023-01-19 02:02:40.584  28.456030        40.35         20
2023-01-19 02:02:40.792  28.422393        40.35         20
2023-01-19 02:02:40.999  29.044674        40.35         20
2023-01-19 02:02:41.207  28.775579        40.35         20
2023-01-19 02:02:41.425  28.859671        40.32         20
2023-01-19 02:02:41.639  28.977400        40.32         20
2023-01-19 02:02:41.847  29.381042        40.32         20
2023-01-19 02:02:42.056  29.532408        40.32         20
2023-01-19 02:02:42.264  28.775579        40.32         20
2023-01-19 02:02:42.472  28.859671        40.32         20
2023-01-19 02:02:42.647  28.809216        40.32         20
2023-01-19 02:02:42.856  29.095129        40.32         20
2023-01-19 02:02:43.063  28.624214        40.32         20
2023-01-19 02:02:43.271  28.573758        40.32         20
2023-01-19 02:02:43.471  28.472848        40.32         20
2023-01-19 02:02:43.673  28.741943        40.32         20
2023-01-19 02:02:43.881  28.624214        40.32         20
2023-01-19 02:02:44.089  28.758761        40.32         20
2023-01-19 02:02:44.312  28.540122        40.32         20
2023-01-19 02:02:44.504  28.439211        40.32         20
2023-01-19 02:02:44.712  28.556940        40.32         20
2023-01-19 02:02:44.920  28.388756        40.32         20
2023-01-19 02:02:45.128  28.321482        40.32         20
2023-01-19 02:02:45.336  28.540122        40.32         20
