               data_ora         rad  temperatura
2023-03-16 23:23:14.218  -42.663143        40.38
2023-03-16 23:23:14.421  -42.730421        40.38
2023-03-16 23:23:14.640  -42.108104        40.38
2023-03-16 23:23:14.796  -42.057646        40.38
2023-03-16 23:23:15.015  -41.889452        40.38
2023-03-16 23:23:15.218  -42.158562        40.38
2023-03-16 23:23:15.421  -42.074465        40.38
2023-03-16 23:23:15.640  -41.788535        40.38
2023-03-16 23:23:15.843  -41.738077        40.38
2023-03-16 23:23:16.046  -41.855813        40.38
2023-03-16 23:23:16.249  -42.124923        40.38
2023-03-16 23:23:16.468  -42.343575        40.38
2023-03-16 23:23:16.671  -42.377214        40.38
2023-03-16 23:23:16.874  -42.276298        40.38
2023-03-16 23:23:17.093  -42.024007        40.38
2023-03-16 23:23:17.296  -42.478130        40.38
2023-03-16 23:23:17.515  -42.259478        40.38
2023-03-16 23:23:17.718  -42.259478        40.38
2023-03-16 23:23:17.921  -42.276298        40.38
2023-03-16 23:23:18.140  -42.478130        40.38
2023-03-16 23:23:18.359  -42.612685        40.38
2023-03-16 23:23:18.562  -42.595866        40.38
2023-03-16 23:23:18.718  -42.696782        40.38
2023-03-16 23:23:18.937  -42.377214        40.38
2023-03-16 23:23:19.140  -42.326756        40.38
2023-03-16 23:23:19.343  -42.797699        40.38
2023-03-16 23:23:19.546  -42.444491        40.38
2023-03-16 23:23:19.765  -42.528588        40.38
2023-03-16 23:23:19.968  -42.326756        40.38
2023-03-16 23:23:20.187  -42.141742        40.38
2023-03-16 23:23:20.390  -42.158562        40.38
2023-03-16 23:23:20.593  -41.906271        40.38
2023-03-16 23:23:20.812  -41.939910        40.38
2023-03-16 23:23:21.015  -41.805355        40.38
2023-03-16 23:23:21.218  -41.889452        40.38
2023-03-16 23:23:21.421  -42.057646        40.38
2023-03-16 23:23:21.640  -42.040826        40.38
2023-03-16 23:23:21.843  -41.889452        40.38
2023-03-16 23:23:22.062  -42.124923        40.38
2023-03-16 23:23:22.280  -42.394033        40.38
2023-03-16 23:23:22.484  -42.259478        40.38
2023-03-16 23:23:22.640  -42.276298        40.38
2023-03-16 23:23:22.859  -42.696782        40.41
2023-03-16 23:23:23.062  -42.797699        40.38
