               data_ora        rad  temperatura
2023-03-25 21:37:44.051   4.733888        41.60
2023-03-25 21:37:44.266   5.036637        41.60
2023-03-25 21:37:44.475   5.036637        41.60
2023-03-25 21:37:44.683   5.002998        41.60
2023-03-25 21:37:44.891   4.733888        41.60
2023-03-25 21:37:45.100   4.700249        41.60
2023-03-25 21:37:45.308   4.616153        41.60
2023-03-25 21:37:45.516   4.801166        41.60
2023-03-25 21:37:45.692   4.817985        41.57
2023-03-25 21:37:45.900   4.801166        41.57
2023-03-25 21:37:46.114   5.221650        41.60
2023-03-25 21:37:46.317   5.019818        41.57
2023-03-25 21:37:46.523   5.238470        41.57
2023-03-25 21:37:46.724   5.204831        41.57
2023-03-25 21:37:46.925   5.272109        41.57
2023-03-25 21:37:47.133   5.473941        41.57
2023-03-25 21:37:47.341   5.591677        41.57
2023-03-25 21:37:47.548   5.002998        41.57
2023-03-25 21:37:47.757   5.154373        41.57
2023-03-25 21:37:47.965   5.272109        41.57
2023-03-25 21:37:48.174   5.339386        41.57
2023-03-25 21:37:48.394   5.473941        41.57
2023-03-25 21:37:48.606   5.457122        41.60
2023-03-25 21:37:48.815   5.473941        41.60
2023-03-25 21:37:49.023   5.625316        41.60
2023-03-25 21:37:49.229   5.911245        41.60
2023-03-25 21:37:49.439   5.894426        41.60
2023-03-25 21:37:49.647   5.894426        41.60
2023-03-25 21:37:49.822   6.298091        41.60
2023-03-25 21:37:50.031   6.449466        41.60
2023-03-25 21:37:50.240   6.314911        41.60
2023-03-25 21:37:50.446   6.533563        41.60
2023-03-25 21:37:50.655   6.634479        41.60
2023-03-25 21:37:50.854   6.735395        41.60
2023-03-25 21:37:51.056   6.600840        41.60
2023-03-25 21:37:51.264   6.853131        41.60
2023-03-25 21:37:51.473   6.651298        41.60
2023-03-25 21:37:51.681   7.105422        41.60
2023-03-25 21:37:51.890   7.088602        41.60
2023-03-25 21:37:52.113   7.054964        41.60
2023-03-25 21:37:52.321   6.769034        41.60
2023-03-25 21:37:52.521   6.954047        41.60
2023-03-25 21:37:52.738   6.634479        41.60
2023-03-25 21:37:52.946   6.769034        41.60
2023-03-25 21:37:53.155   6.701756        41.60
2023-03-25 21:37:53.363   6.701756        41.60
2023-03-25 21:37:53.571   7.206338        41.60
2023-03-25 21:37:53.779   6.954047        41.60
2023-03-25 21:37:53.955   7.021325        41.60
2023-03-25 21:37:54.163   7.239977        41.60
2023-03-25 21:37:54.370   7.324074        41.60
2023-03-25 21:37:54.578   7.391351        41.60
2023-03-25 21:37:54.786   7.643642        41.60
2023-03-25 21:37:54.986   7.694100        41.60
2023-03-25 21:37:55.188   7.946391        41.60
2023-03-25 21:37:55.396   7.929572        41.60
2023-03-25 21:37:55.604   7.862294        41.60
2023-03-25 21:37:55.812   8.198682        41.60
2023-03-25 21:37:56.021   8.299598        41.60
2023-03-25 21:37:56.229   8.333237        41.60
2023-03-25 21:37:56.436   8.080946        41.60
2023-03-25 21:37:56.652   7.980030        41.60
2023-03-25 21:37:56.870   8.165043        41.60
2023-03-25 21:37:57.077   7.677281        41.60
2023-03-25 21:37:57.286   7.408171        41.60
2023-03-25 21:37:57.493   7.795017        41.60
2023-03-25 21:37:57.701   7.677281        41.60
2023-03-25 21:37:57.910   7.509087        41.60
2023-03-25 21:37:58.085   7.879114        41.60
2023-03-25 21:37:58.293   7.727739        41.60
2023-03-25 21:37:58.502   7.778197        41.60
2023-03-25 21:37:58.710   7.559545        41.60
2023-03-25 21:37:58.916   7.677281        41.60
2023-03-25 21:37:59.114   7.340893        41.60
2023-03-25 21:37:59.319   7.139061        41.60
2023-03-25 21:37:59.525   7.038144        41.60
2023-03-25 21:37:59.735   7.290435        41.63
2023-03-25 21:37:59.943   6.819492        41.60
