               data_ora        rad  temperatura elevazione
2023-03-27 01:43:53.012 -34.500485        40.38         50
2023-03-27 01:43:53.219 -35.223676        40.38         50
2023-03-27 01:43:53.428 -35.492771        40.38         50
2023-03-27 01:43:53.636 -35.341405        40.38         50
2023-03-27 01:43:53.844 -35.475953        40.38         50
2023-03-27 01:43:54.051 -35.307768        40.38         50
2023-03-27 01:43:54.261 -35.206858        40.38         50
2023-03-27 01:43:54.472 -34.870490        40.38         50
2023-03-27 01:43:54.689 -35.459134        40.38         50
2023-03-27 01:43:54.901 -34.786398        40.38         50
2023-03-27 01:43:55.109 -35.038674        40.38         50
2023-03-27 01:43:55.284 -34.920945        40.38         50
2023-03-27 01:43:55.484 -35.711410        40.38         50
2023-03-27 01:43:55.685 -34.937763        40.38         50
2023-03-27 01:43:55.892 -35.038674        40.38         50
2023-03-27 01:43:56.102 -35.122766        40.38         50
2023-03-27 01:43:56.308 -34.466848        40.38         50
2023-03-27 01:43:56.518 -34.517303        40.38         50
2023-03-27 01:43:56.725 -34.550940        40.38         50
2023-03-27 01:43:56.934 -34.349119        40.38         50
2023-03-27 01:43:57.143 -33.962296        40.38         50
2023-03-27 01:43:57.351 -34.130480        40.38         50
2023-03-27 01:43:57.559 -34.887308        40.38         50
2023-03-27 01:43:57.767 -35.223676        40.38         50
2023-03-27 01:43:57.975 -35.173221        40.38         50
2023-03-27 01:43:58.182 -35.190040        40.38         50
2023-03-27 01:43:58.391 -34.920945        40.38         50
2023-03-27 01:43:58.599 -35.055492        40.38         50
2023-03-27 01:43:58.820 -34.483667        40.38         50
2023-03-27 01:43:59.032 -34.685487        40.38         50
2023-03-27 01:43:59.240 -34.450030        40.38         50
2023-03-27 01:43:59.417 -35.089129        40.38         50
2023-03-27 01:43:59.609 -35.274132        40.38         50
2023-03-27 01:43:59.817 -35.745047        40.38         50
2023-03-27 01:44:00.024 -35.930050        40.38         50
2023-03-27 01:44:00.233 -35.997323        40.38         50
2023-03-27 01:44:00.441 -35.341405        40.38         50
2023-03-27 01:44:00.650 -35.190040        40.38         50
2023-03-27 01:44:00.856 -35.324587        40.38         50
2023-03-27 01:44:01.066 -35.627318        40.38         50
2023-03-27 01:44:01.274 -35.206858        40.38         50
2023-03-27 01:44:01.482 -34.988219        40.38         50
2023-03-27 01:44:01.690 -34.685487        40.38         50
2023-03-27 01:44:01.899 -34.365938        40.38         50
2023-03-27 01:44:02.107 -34.719124        40.38         50
2023-03-27 01:44:02.315 -34.550940        40.38         50
2023-03-27 01:44:02.524 -34.635032        40.38         50
2023-03-27 01:44:02.736 -34.752761        40.38         50
2023-03-27 01:44:02.953 -34.685487        40.38         50
2023-03-27 01:44:03.164 -35.105948        40.38         50
2023-03-27 01:44:03.327 -34.735943        40.38         50
2023-03-27 01:44:03.532 -34.752761        40.38         50
2023-03-27 01:44:03.740 -34.887308        40.38         50
2023-03-27 01:44:03.949 -35.038674        40.38         50
2023-03-27 01:44:04.157 -35.274132        40.38         50
2023-03-27 01:44:04.364 -35.240495        40.38         50
2023-03-27 01:44:04.572 -35.274132        40.38         50
