               data_ora        rad  temperatura
2023-04-06 23:06:35.178  -9.125286        40.35
2023-04-06 23:06:35.386  -9.058009        40.35
2023-04-06 23:06:35.605  -9.528952        40.35
2023-04-06 23:06:35.819  -9.259841        40.35
2023-04-06 23:06:36.027  -9.293480        40.35
2023-04-06 23:06:36.236  -9.125286        40.35
2023-04-06 23:06:36.408  -9.226203        40.35
2023-04-06 23:06:36.607  -9.360758        40.35
2023-04-06 23:06:36.811  -9.142106        40.35
2023-04-06 23:06:37.020  -9.579410        40.35
2023-04-06 23:06:37.228  -9.713965        40.35
2023-04-06 23:06:37.435  -9.394397        40.35
2023-04-06 23:06:37.644  -9.327119        40.35
2023-04-06 23:06:37.853  -9.360758        40.35
2023-04-06 23:06:38.061  -9.091648        40.35
2023-04-06 23:06:38.269  -9.327119        40.35
2023-04-06 23:06:38.478  -9.142106        40.35
2023-04-06 23:06:38.686  -9.444855        40.35
2023-04-06 23:06:38.894  -9.428035        40.35
2023-04-06 23:06:39.102  -9.175745        40.35
2023-04-06 23:06:39.310  -9.243022        40.35
2023-04-06 23:06:39.526  -9.276661        40.35
2023-04-06 23:06:39.742  -9.209383        40.35
2023-04-06 23:06:39.951  -9.444855        40.35
2023-04-06 23:06:40.159  -9.478494        40.35
2023-04-06 23:06:40.329  -9.310300        40.35
2023-04-06 23:06:40.527  -9.377577        40.35
2023-04-06 23:06:40.735  -9.512132        40.35
2023-04-06 23:06:40.943  -9.562590        40.35
2023-04-06 23:06:41.151  -9.512132        40.35
2023-04-06 23:06:41.359  -9.646687        40.35
2023-04-06 23:06:41.583  -9.814881        40.35
2023-04-06 23:06:41.791  -9.983075        40.35
2023-04-06 23:06:41.984 -10.184908        40.35
2023-04-06 23:06:42.190  -9.831701        40.35
2023-04-06 23:06:42.400  -9.898978        40.35
2023-04-06 23:06:42.608  -9.915798        40.35
2023-04-06 23:06:42.816  -9.713965        40.35
2023-04-06 23:06:43.025  -9.747604        40.35
2023-04-06 23:06:43.233  -9.932617        40.35
2023-04-06 23:06:43.444 -10.033533        40.35
2023-04-06 23:06:43.662 -10.285824        40.35
2023-04-06 23:06:43.873  -9.865339        40.35
2023-04-06 23:06:44.082  -9.932617        40.35
2023-04-06 23:06:44.250 -10.184908        40.35
2023-04-06 23:06:44.449 -10.033533        40.35
2023-04-06 23:06:44.658  -9.814881        40.35
2023-04-06 23:06:44.866 -10.083991        40.35
2023-04-06 23:06:45.075 -10.033533        40.35
2023-04-06 23:06:45.283  -9.781242        40.35
2023-04-06 23:06:45.491  -9.949436        40.35
2023-04-06 23:06:45.699  -9.983075        40.35
2023-04-06 23:06:45.908  -9.680326        40.35
2023-04-06 23:06:46.116  -9.814881        40.35
2023-04-06 23:06:46.324  -9.125286        40.35
2023-04-06 23:06:46.531  -9.209383        40.35
2023-04-06 23:06:46.740  -9.226203        40.35
2023-04-06 23:06:46.949  -9.142106        40.35
2023-04-06 23:06:47.157  -8.822537        40.35
2023-04-06 23:06:47.368  -9.058009        40.35
2023-04-06 23:06:47.587  -9.142106        40.32
2023-04-06 23:06:47.797  -9.074828        40.32
2023-04-06 23:06:48.005  -9.125286        40.32
2023-04-06 23:06:48.171  -8.704802        40.32
2023-04-06 23:06:48.373  -8.906634        40.32
2023-04-06 23:06:48.581  -8.889815        40.32
2023-04-06 23:06:48.791  -8.856176        40.35
2023-04-06 23:06:48.999  -8.872996        40.35
2023-04-06 23:06:49.207  -8.738441        40.35
2023-04-06 23:06:49.414  -8.637524        40.35
2023-04-06 23:06:49.623  -8.654344        40.35
2023-04-06 23:06:49.830  -8.687982        40.35
